scope,lhs,rhs,delta_tick,nearest_horizon,horizon_error,nearest_landmark,landmark_error
nist-selected-self,Hydrogen H I 1215.6736 A [vacuum],Sodium Na II 2420.9900 A [air],48.01268422769772,48.0,0.012684227697718597,48.0,0.012684227697718597
nist-selected-self,Sodium Na I 4324.6200 A [air],Sodium Na I 10834.8700 A [air],64.01280790557212,64.0,0.012807905572117306,64.0,0.012807905572117306
nist-selected-same-element,Sodium Na I 4324.6200 A [air],Sodium Na I 10834.8700 A [air],64.01280790557212,64.0,0.012807905572117306,64.0,0.012807905572117306
nist-selected-self,Hydrogen H I 1215.6682 A [vacuum],Sodium Na II 2420.9900 A [air],48.01299382080197,48.0,0.012993820801966649,48.0,0.012993820801966649
nist-selected-self,Sodium Na II 2886.2600 A [air],Cesium Cs I 7228.5300 A [air],63.986935581656326,64.0,0.013064418343674333,64.0,0.013064418343674333
nist-selected-self,Sodium Na I 5895.9240 A [air],Sodium Na I 23379.1300 A [air],96.01324838723576,96.0,0.013248387235762493,96.0,0.013248387235762493
nist-selected-same-element,Sodium Na I 5895.9240 A [air],Sodium Na I 23379.1300 A [air],96.01324838723576,96.0,0.013248387235762493,96.0,0.013248387235762493
nist-selected-self,Sodium Na II 4405.1200 A [air],Cesium Cs I 6973.3000 A [air],32.013261352731206,32.0,0.013261352731205989,32.0,0.013261352731205989
nist-selected-self,Helium He I 4713.1460 A [air],Sodium Na II 1881.9100 A [vacuum],63.98653534305868,64.0,0.013464656941323483,64.0,0.013464656941323483
nist-selected-self,Sodium Na I 8649.9200 A [air],Cesium Cs II 13692.9100 A [air],32.01375192605883,32.0,0.013751926058830577,32.0,0.013751926058830577
nist-selected-self,Sodium Na I 3426.8600 A [air],Cesium Cs I 6824.6500 A [air],48.01397220191484,48.0,0.013972201914839388,48.0,0.013972201914839388
nist-selected-self,Helium He II 972.1100 A [vacuum],Cesium Cs II 1935.1900 A [vacuum],47.98575591987628,48.0,0.01424408012371714,48.0,0.01424408012371714
