species,class,order,family,mass_kg,brain_size,brain_units,source
Myotis dasycneme,Mammalia,Chiroptera,Vespertilionidae,0.015,0.00031,kg,AnimalTraits
Myotis daubentoni,Mammalia,Chiroptera,Vespertilionidae,0.007,0.00023,kg,AnimalTraits
Myotis myotis,Mammalia,Chiroptera,Vespertilionidae,0.025,0.00048,kg,AnimalTraits
Myotis mystacinus,Mammalia,Chiroptera,Vespertilionidae,0.004,0.00016,kg,AnimalTraits
Myotis nattereri,Mammalia,Chiroptera,Vespertilionidae,0.007,0.00022,kg,AnimalTraits
Myotis nigricans,Mammalia,Chiroptera,Vespertilionidae,0.0045,0.00012,kg,AnimalTraits
Noctilio leporinus,Mammalia,Chiroptera,Noctilionidae,0.0585,0.00126,kg,AnimalTraits
Nycteris arge,Mammalia,Chiroptera,Nycteridae,0.0106,0.00036,kg,AnimalTraits
Nyctalus noctula,Mammalia,Chiroptera,Vespertilionidae,0.025,0.000369,kg,AnimalTraits
Phyllostomus discolor,Mammalia,Chiroptera,Phyllostomatidae,0.033,0.00089,kg,AnimalTraits
Pteronotus davyi,Mammalia,Chiroptera,Phyllostomatidae,0.0106,0.00031,kg,AnimalTraits
Rhinolophus hipposideros,Mammalia,Chiroptera,Rhinolophidae,0.00715,0.000235,kg,AnimalTraits
Rhynchonycteris naso,Mammalia,Chiroptera,Emballonuridae,0.0043,0.00011,kg,AnimalTraits
Rousettus aegyptiacus,Mammalia,Chiroptera,Pteropidae,0.13,0.0026,kg,AnimalTraits
Saccopteryx bilineata,Mammalia,Chiroptera,Emballonuridae,0.008,0.00022,kg,AnimalTraits
Sturnira lilium,Mammalia,Chiroptera,Phyllostomatidae,0.0171,0.00052,kg,AnimalTraits
Uroderma bilobatum,Mammalia,Chiroptera,Phyllostomatidae,0.0164,0.00053,kg,AnimalTraits
Vampyrops helleri,Mammalia,Chiroptera,Phyllostomatidae,0.0116,0.00042,kg,AnimalTraits
Vespertilio serotinus,Mammalia,Chiroptera,Vespertilionidae,0.0234,0.00031,kg,AnimalTraits
Vespertilio murinus,Mammalia,Chiroptera,Vespertilionidae,0.0333,0.000445,kg,AnimalTraits
Scotophilus gigas,Mammalia,Chiroptera,Vespertilionidae,0.101,0.001046,kg,AnimalTraits
Miniopterus schreibers,Mammalia,Chiroptera,Vespertilionidae,0.0127,0.00029,kg,AnimalTraits
Tadarida albiventer,Mammalia,Chiroptera,Molossidae,0.0115,0.00022,kg,AnimalTraits
Chaerophon limbatus,Mammalia,Chiroptera,Molossidae,0.0133,0.00029,kg,AnimalTraits
Chaerophon Ieucostigma,Mammalia,Chiroptera,Molossidae,0.0265,0.00039,kg,AnimalTraits
Molossus major,Mammalia,Chiroptera,Molossidae,0.013,0.00026,kg,AnimalTraits
Molossus ate,Mammalia,Chiroptera,Molossidae,0.0281,0.00048,kg,AnimalTraits
Pteropus vampyru,Mammalia,Chiroptera,Pteropidae,1.22,0.0102,kg,AnimalTraits
Epomophorus gambianus,Mammalia,Chiroptera,Pteropidae,0.309,0.00433,kg,AnimalTraits
Pteropus edwarsi,Mammalia,Chiroptera,Pteropidae,0.287,0.008,kg,AnimalTraits
Semnopithecus entellus,Mammalia,Primates,Cercopithecidae,7.01,0.1115,kg,AnimalTraits
Semnopithecus entellus,Mammalia,Primates,Cercopithecidae,4.4,0.105,kg,AnimalTraits
Cercopithecus callitrichus,Mammalia,Primates,Cercopithecidae,3,0.0815,kg,AnimalTraits
Cercopithecus griseoviridis,Mammalia,Primates,Cercopithecidae,1.908,0.06,kg,AnimalTraits
Cercopithecus cynosurus,Mammalia,Primates,Cercopithecidae,2.92,0.072,kg,AnimalTraits
Cercopithecus sabaeus,Mammalia,Primates,Cercopithecidae,1.44,0.0748,kg,AnimalTraits
Cercopithecus rufoviridis,Mammalia,Primates,Cercopithecidae,2.05,0.051,kg,AnimalTraits
Cercocebus fuliginosus,Mammalia,Primates,Cercopithecidae,3.09,0.1035,kg,AnimalTraits
Cercocebus fuliginosus,Mammalia,Primates,Cercopithecidae,2.25,0.1,kg,AnimalTraits
Cercocebus fuliginosus,Mammalia,Primates,Cercopithecidae,7.735,0.0926,kg,AnimalTraits
Cercocebus fuliginosus,Mammalia,Primates,Cercopithecidae,2.815,0.085,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,4.035,0.079,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,2.05,0.0757,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,1.425,0.0739,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,1.21,0.066,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,1.98,0.0623,kg,AnimalTraits
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,2.49,0.0537,kg,AnimalTraits
Macaca pileatus,Mammalia,Primates,Cercopithecidae,2.22,0.0601,kg,AnimalTraits
Macaca pileatus,Mammalia,Primates,Cercopithecidae,1.72,0.0562,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,3.845,0.1008,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,1.752,0.0831,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,2.634,0.082,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,1.86,0.081,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,2.625,0.0802,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,1.985,0.0789,kg,AnimalTraits
Macaca rhesus,Mammalia,Primates,Cercopithecidae,1.42,0.0784,kg,AnimalTraits
Macaca assamensis,Mammalia,Primates,Cercopithecidae,3.655,0.0905,kg,AnimalTraits
Macaca leonina,Mammalia,Primates,Cercopithecidae,2.05,0.09,kg,AnimalTraits
Macaca nemestrina,Mammalia,Primates,Cercopithecidae,6.625,0.117,kg,AnimalTraits
Ateles paniscus,Mammalia,Primates,Atelidae,2.55,0.12,kg,AnimalTraits
Ateles paniscus,Mammalia,Primates,Atelidae,2.035,0.1083,kg,AnimalTraits
Ateles paniscus,Mammalia,Primates,Atelidae,2.305,0.1088,kg,AnimalTraits
Cebus capucinus,Mammalia,Primates,Cebidae,1.92,0.061,kg,AnimalTraits
Cebus capucinus,Mammalia,Primates,Cebidae,0.9697,0.0637,kg,AnimalTraits
Cebus olivaceus,Mammalia,Primates,Cebidae,1.262,0.0725,kg,AnimalTraits
Sapajus libidinosus,Mammalia,Primates,Cebidae,2.645,0.0577,kg,AnimalTraits
Sapajus libidinosus,Mammalia,Primates,Cebidae,2.52,0.0965,kg,AnimalTraits
Alouatta caraya,Mammalia,Primates,Atelidae,2.955,0.0456,kg,AnimalTraits
Lagothrix lagothricha,Mammalia,Primates,Atelidae,2.55,0.0925,kg,AnimalTraits
Aotus trivirgatus,Mammalia,Primates,Aotidae,0.48,0.0155,kg,AnimalTraits
Saimiri sciureus,Mammalia,Primates,Cebidae,0.3285,0.0235,kg,AnimalTraits
Saimiri sciureus,Mammalia,Primates,Cebidae,0.365,0.0212,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.242,0.009,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.169,0.0072,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.225,0.0067,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.221,0.009,kg,AnimalTraits
Callithrix jacchus,Mammalia,Primates,Cebidae,0.155,0.0073,kg,AnimalTraits
