species,order,family,mass_g,mass_kg,gestation_days,source
Damaliscus lunatus,Artiodactyla,Bovidae,136000.33,136.00033,238,PanTHERIA_WR05
Damaliscus pygargus,Artiodactyla,Bovidae,77784.55,77.78455,240.54,PanTHERIA_WR05
Dasycercus cristicauda,Dasyuromorphia,Dasyuridae,99.54,0.09954,38.99,PanTHERIA_WR05
Dasykaluta rosamondae,Dasyuromorphia,Dasyuridae,32.17,0.03217,49.69,PanTHERIA_WR05
Dasypus septemcinctus,Cingulata,Dasypodidae,1526.64,1.52664,120,PanTHERIA_WR05
Dasyuroides byrnei,Dasyuromorphia,Dasyuridae,109.47,0.10947,32.49,PanTHERIA_WR05
Dasyurus albopunctatus,Dasyuromorphia,Dasyuridae,603.48,0.60348,19.29,PanTHERIA_WR05
Dasyurus geoffroii,Dasyuromorphia,Dasyuridae,1106.62,1.10662,17.66,PanTHERIA_WR05
Dasyurus maculatus,Dasyuromorphia,Dasyuridae,3284.15,3.28415,21,PanTHERIA_WR05
Dasyurus spartacus,Dasyuromorphia,Dasyuridae,885.67,0.88567,19.12,PanTHERIA_WR05
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae,1101.49,1.10149,20.5,PanTHERIA_WR05
Daubentonia madagascariensis,Primates,Daubentoniidae,2731.37,2.73137,166.48,PanTHERIA_WR05
Dipodillus simoni,Rodentia,Muridae,17.4,0.0174,25.54,PanTHERIA_WR05
Dipodomys deserti,Rodentia,Heteromyidae,107.63,0.10763,30.5,PanTHERIA_WR05
Dipodomys heermanni,Rodentia,Heteromyidae,63.08,0.06308,30.99,PanTHERIA_WR05
Dipodomys merriami,Rodentia,Heteromyidae,37.91,0.03791,30.77,PanTHERIA_WR05
Dipodomys microps,Rodentia,Heteromyidae,56.26,0.05626,30.99,PanTHERIA_WR05
Dipodomys nitratoides,Rodentia,Heteromyidae,41.59,0.04159,32.89,PanTHERIA_WR05
Dipodomys ordii,Rodentia,Heteromyidae,50.4,0.0504,29.69,PanTHERIA_WR05
Dipodomys panamintinus,Rodentia,Heteromyidae,73.67,0.07367,29.44,PanTHERIA_WR05
Dipodomys spectabilis,Rodentia,Heteromyidae,124.61,0.12461,23.5,PanTHERIA_WR05
Dipus sagitta,Rodentia,Dipodidae,89,0.089,27.5,PanTHERIA_WR05
