species,order,family,mass_g,mass_kg,home_range_km2,source
Apodemus sylvaticus,Rodentia,Muridae,21.9,0.0219,0.007114139,PanTHERIA_WR05
Apomys musculus,Rodentia,Muridae,21.2,0.0212,0.002683942,PanTHERIA_WR05
Tarsius tarsier,Primates,Tarsiidae,168.04,0.16804,0.02,PanTHERIA_WR05
Tatera indica,Rodentia,Muridae,138.28,0.13828,0.001368298,PanTHERIA_WR05
Taterillus pygargus,Rodentia,Muridae,60.19,0.06019,0.000415138,PanTHERIA_WR05
Taurotragus oryx,Artiodactyla,Bovidae,562592.69,562.59269,195.15,PanTHERIA_WR05
Taxidea taxus,Carnivora,Mustelidae,7842.15,7.84215,3.44,PanTHERIA_WR05
Tayassu pecari,Artiodactyla,Tayassuidae,31798.71,31.79871,40.97,PanTHERIA_WR05
Theropithecus gelada,Primates,Cercopithecidae,15964.11,15.96411,1.16,PanTHERIA_WR05
Thomomys bottae,Rodentia,Geomyidae,122.7,0.1227,9.89232e-05,PanTHERIA_WR05
Thomomys mazama,Rodentia,Geomyidae,93.07,0.09307,9.05052e-05,PanTHERIA_WR05
Thomomys monticola,Rodentia,Geomyidae,80.99,0.08099,5.73596e-05,PanTHERIA_WR05
Thylamys elegans,Didelphimorphia,Didelphidae,28.9,0.0289,0.000705614,PanTHERIA_WR05
Thylamys velutinus,Didelphimorphia,Didelphidae,20.69,0.02069,0.02,PanTHERIA_WR05
Thylogale stigmatica,Diprotodontia,Macropodidae,4511.47,4.51147,0.02,PanTHERIA_WR05
Thylogale thetis,Diprotodontia,Macropodidae,5399.95,5.39995,0.1,PanTHERIA_WR05
Trachypithecus auratus,Primates,Cercopithecidae,9719.6,9.7196,0.03,PanTHERIA_WR05
Trachypithecus cristatus,Primates,Cercopithecidae,7176.81,7.17681,0.12,PanTHERIA_WR05
Trachypithecus geei,Primates,Cercopithecidae,8356,8.356,2.22,PanTHERIA_WR05
Trachypithecus johnii,Primates,Cercopithecidae,10595.08,10.59508,0.08,PanTHERIA_WR05
Trachypithecus obscurus,Primates,Cercopithecidae,7247.88,7.24788,0.18,PanTHERIA_WR05
Trachypithecus phayrei,Primates,Cercopithecidae,7681.72,7.68172,0.17,PanTHERIA_WR05
Trachypithecus pileatus,Primates,Cercopithecidae,11219.93,11.21993,0.22,PanTHERIA_WR05
Trachypithecus vetulus,Primates,Cercopithecidae,7205.08,7.20508,0.02,PanTHERIA_WR05
Tragelaphus angasii,Artiodactyla,Bovidae,87616.76,87.61676,1.63,PanTHERIA_WR05
Trinomys iheringi,Rodentia,Echimyidae,220.39,0.22039,0.01,PanTHERIA_WR05
Tupaia glis,Scandentia,Tupaiidae,132.43,0.13243,0.008142403,PanTHERIA_WR05
Tursiops truncatus,Cetacea,Delphinidae,281040.55,281.04055,52.77,PanTHERIA_WR05
Uncia uncia,Carnivora,Felidae,32500,32.5,22.72,PanTHERIA_WR05
Urocyon cinereoargenteus,Carnivora,Canidae,3833.71,3.83371,1.83,PanTHERIA_WR05
Urocyon littoralis,Carnivora,Canidae,1923,1.923,0.42,PanTHERIA_WR05
Urotrichus talpoides,Soricomorpha,Talpidae,18.2,0.0182,0.001791593,PanTHERIA_WR05
Ursus americanus,Carnivora,Ursidae,110500,110.5,31.25,PanTHERIA_WR05
Ursus arctos,Carnivora,Ursidae,196287.5,196.2875,310.81,PanTHERIA_WR05
Ursus maritimus,Carnivora,Ursidae,371703.81,371.70381,77270.47,PanTHERIA_WR05
Ursus thibetanus,Carnivora,Ursidae,99714.19,99.71419,0.7,PanTHERIA_WR05
Varecia variegata,Primates,Lemuridae,3849.99,3.84999,1.39,PanTHERIA_WR05
Vicugna vicugna,Artiodactyla,Camelidae,47499.61,47.49961,0.12,PanTHERIA_WR05
