species,class,order,family,mass_kg,metabolic_rate,metabolic_rate_units,source
Psaltriparus minimus,Aves,Passeriformes,Aegithalidae,0.0055,0.121,W,AnimalTraits
Drepanis coccinea,Aves,Passeriformes,Fringillidae,0.015,0.31013333,W,AnimalTraits
Himatione sanguinea,Aves,Passeriformes,Fringillidae,0.0129,0.2471375,W,AnimalTraits
Loxops virens,Aves,Passeriformes,Fringillidae,0.0107,0.20837083,W,AnimalTraits
Loxops parva,Aves,Passeriformes,Fringillidae,0.0079,0.14052917,W,AnimalTraits
Amazona viridigenalis,Aves,Psittaciformes,Psittacidae,0.3419,2.0133333,W,AnimalTraits
Anas crecca,Aves,Anseriformes,Anatidae,0.25,1.6666667,W,AnimalTraits
Anas querquedula,Aves,Anseriformes,Anatidae,0.289,2.2333333,W,AnimalTraits
Aythya nyroca,Aves,Anseriformes,Anatidae,0.44,3.2722222,W,AnimalTraits
Anas penelope,Aves,Anseriformes,Anatidae,0.539,3.1361111,W,AnimalTraits
Anas clypeata,Aves,Anseriformes,Anatidae,0.554,3.8777778,W,AnimalTraits
Aythya fuligula,Aves,Anseriformes,Anatidae,0.571,2.7027778,W,AnimalTraits
Anas acuta,Aves,Anseriformes,Anatidae,0.721,4.3638889,W,AnimalTraits
Anas strepera,Aves,Anseriformes,Anatidae,0.791,6.2027778,W,AnimalTraits
Aythya ferina,Aves,Anseriformes,Anatidae,0.816,5.8166667,W,AnimalTraits
Anas plathyrhynchos,Aves,Anseriformes,Anatidae,1.236,7.5777778,W,AnimalTraits
Netta rufina,Aves,Anseriformes,Anatidae,1.237,7.1,W,AnimalTraits
Loriculus galgulus,Aves,Psittaciformes,Psittaculidae,0.027,0.51666667,W,AnimalTraits
Melopsittacus undulatus,Aves,Psittaciformes,Psittaculidae,0.039,0.62222222,W,AnimalTraits
Neophema pulchella,Aves,Psittaciformes,Psittaculidae,0.04,0.58055556,W,AnimalTraits
Neophema bourkii,Aves,Psittaciformes,Psittaculidae,0.04,0.53888889,W,AnimalTraits
Cuculus canorus,Aves,Cuculiformes,Cuculidae,0.128,1.2555556,W,AnimalTraits
Centropus senegalensis,Aves,Cuculiformes,Cuculidae,0.175,1.5083333,W,AnimalTraits
Eudynamys scolopacea,Aves,Cuculiformes,Cuculidae,0.188,1.6444444,W,AnimalTraits
Fulica atra,Aves,Gruiformes,Rallidae,0.754,4.3638889,W,AnimalTraits
Tringa ochropus,Aves,Charadriiformes,Scolopacidae,0.09,0.92222222,W,AnimalTraits
Buteo buteo,Aves,Accipitriformes,Accipitridae,1.012,3.7555556,W,AnimalTraits
Coturnix chinensis,Aves,Galliformes,Phasianidae,0.049,0.62777778,W,AnimalTraits
Coturnix japonica,Aves,Galliformes,Phasianidae,0.115,0.97777778,W,AnimalTraits
Upupa epops,Aves,Bucerotiformes,Upupidae,0.067,0.55277778,W,AnimalTraits
Eudyptula minor,Aves,Sphenisciformes,Spheniscidae,0.96,4.18,W,AnimalTraits
