species,order,family,mass_g,mass_kg,weaning_days,source
Ursus americanus,Carnivora,Ursidae,110500,110.5,167.99,PanTHERIA_WR05
Ursus arctos,Carnivora,Ursidae,196287.5,196.2875,182.5,PanTHERIA_WR05
Ursus maritimus,Carnivora,Ursidae,371703.81,371.70381,205.17,PanTHERIA_WR05
Ursus thibetanus,Carnivora,Ursidae,99714.19,99.71419,82.01,PanTHERIA_WR05
Varecia variegata,Primates,Lemuridae,3849.99,3.84999,90.73,PanTHERIA_WR05
Vespadelus pumilus,Chiroptera,Vespertilionidae,5.4,0.0054,46.6,PanTHERIA_WR05
Vespadelus regulus,Chiroptera,Vespertilionidae,5.05,0.00505,60.41,PanTHERIA_WR05
Vespertilio murinus,Chiroptera,Vespertilionidae,15.42,0.01542,94.29,PanTHERIA_WR05
Vespertilio sinensis,Chiroptera,Vespertilionidae,24.3,0.0243,34.99,PanTHERIA_WR05
Vicugna vicugna,Artiodactyla,Camelidae,47499.61,47.49961,309.89,PanTHERIA_WR05
Vombatus ursinus,Diprotodontia,Vombatidae,26000,26,447.45,PanTHERIA_WR05
Vulpes cana,Carnivora,Canidae,988.5,0.9885,44.74,PanTHERIA_WR05
Vulpes corsac,Carnivora,Canidae,2615.33,2.61533,54.56,PanTHERIA_WR05
Vulpes ferrilata,Carnivora,Canidae,5543.74,5.54374,55.68,PanTHERIA_WR05
Vulpes lagopus,Carnivora,Canidae,3584.37,3.58437,49.5,PanTHERIA_WR05
Vulpes velox,Carnivora,Canidae,2088,2.088,47.08,PanTHERIA_WR05
Vulpes vulpes,Carnivora,Canidae,4820.36,4.82036,50.71,PanTHERIA_WR05
Vulpes zerda,Carnivora,Canidae,1317.13,1.31713,65.56,PanTHERIA_WR05
Wallabia bicolor,Diprotodontia,Macropodidae,14999.95,14.99995,447.45,PanTHERIA_WR05
Wyulda squamicaudata,Diprotodontia,Phalangeridae,1799.21,1.79921,240.97,PanTHERIA_WR05
Xerus erythropus,Rodentia,Sciuridae,602.23,0.60223,50.21,PanTHERIA_WR05
Xerus inauris,Rodentia,Sciuridae,572.6,0.5726,51.85,PanTHERIA_WR05
