species,order,family,mass_g,mass_kg,weaning_days,source
Pachyuromys duprasi,Rodentia,Muridae,47.5,0.0475,33.62,PanTHERIA_WR05
Pagophilus groenlandicus,Carnivora,Phocidae,132250,132.25,11.45,PanTHERIA_WR05
Paguma larvata,Carnivora,Viverridae,4300,4.3,109.13,PanTHERIA_WR05
Pan paniscus,Primates,Hominidae,35119.95,35.11995,1081.31,PanTHERIA_WR05
Pan troglodytes,Primates,Hominidae,45000,45,1260.81,PanTHERIA_WR05
Panthera leo,Carnivora,Felidae,158623.93,158.62393,197.86,PanTHERIA_WR05
Panthera onca,Carnivora,Felidae,83943.09,83.94309,156.6,PanTHERIA_WR05
Panthera pardus,Carnivora,Felidae,52399.99,52.39999,123.54,PanTHERIA_WR05
Panthera tigris,Carnivora,Felidae,161914.66,161.91466,118.55,PanTHERIA_WR05
Phocoena phocoena,Cetacea,Phocoenidae,52730.93,52.73093,258.09,PanTHERIA_WR05
Phocoenoides dalli,Cetacea,Phocoenidae,106042.53,106.04253,91.24,PanTHERIA_WR05
Phodopus sungorus,Rodentia,Cricetidae,30.43,0.03043,20,PanTHERIA_WR05
Phoniscus jagorii,Chiroptera,Vespertilionidae,4.7,0.0047,83.7,PanTHERIA_WR05
Papio anubis,Primates,Cercopithecidae,17728.56,17.72856,596.6,PanTHERIA_WR05
Papio cynocephalus,Primates,Cercopithecidae,15822.15,15.82215,450.42,PanTHERIA_WR05
Papio hamadryas,Primates,Cercopithecidae,14007.08,14.00708,363.96,PanTHERIA_WR05
Papio ursinus,Primates,Cercopithecidae,17729.44,17.72944,877.09,PanTHERIA_WR05
Paraechinus aethiopicus,Erinaceomorpha,Erinaceidae,352.4,0.3524,67.27,PanTHERIA_WR05
Paraechinus micropus,Erinaceomorpha,Erinaceidae,171,0.171,45.05,PanTHERIA_WR05
Paramelomys levipes,Rodentia,Muridae,82.81,0.08281,20,PanTHERIA_WR05
Paramelomys lorentzii,Rodentia,Muridae,150,0.15,20,PanTHERIA_WR05
Paramelomys mollis,Rodentia,Muridae,90.05,0.09005,20,PanTHERIA_WR05
Paramelomys moncktoni,Rodentia,Muridae,80.56,0.08056,20,PanTHERIA_WR05
Paramelomys platyops,Rodentia,Muridae,85.6,0.0856,20,PanTHERIA_WR05
Paramelomys rubex,Rodentia,Muridae,47.16,0.04716,20,PanTHERIA_WR05
Parantechinus apicalis,Dasyuromorphia,Dasyuridae,71.31,0.07131,112.7,PanTHERIA_WR05
Parascalops breweri,Soricomorpha,Talpidae,51.11,0.05111,30.24,PanTHERIA_WR05
Paraxerus cepapi,Rodentia,Sciuridae,222.85,0.22285,38.39,PanTHERIA_WR05
Paraxerus ochraceus,Rodentia,Sciuridae,104.3,0.1043,24.36,PanTHERIA_WR05
Paraxerus palliatus,Rodentia,Sciuridae,365.37,0.36537,52.5,PanTHERIA_WR05
Pecari tajacu,Artiodactyla,Tayassuidae,21133.69,21.13369,47.25,PanTHERIA_WR05
Pedetes capensis,Rodentia,Pedetidae,2549.25,2.54925,45.61,PanTHERIA_WR05
Perameles gunnii,Peramelemorphia,Peramelidae,903.46,0.90346,59.99,PanTHERIA_WR05
Perameles nasuta,Peramelemorphia,Peramelidae,720.26,0.72026,66.99,PanTHERIA_WR05
Perodicticus potto,Primates,Lorisidae,1081.81,1.08181,149.15,PanTHERIA_WR05
Perognathus flavus,Rodentia,Heteromyidae,7.97,0.00797,29.83,PanTHERIA_WR05
Perognathus longimembris,Rodentia,Heteromyidae,8.07,0.00807,18.67,PanTHERIA_WR05
Perognathus parvus,Rodentia,Heteromyidae,21.56,0.02156,21,PanTHERIA_WR05
Peromyscus californicus,Rodentia,Cricetidae,42.68,0.04268,29.83,PanTHERIA_WR05
Peromyscus crinitus,Rodentia,Cricetidae,16.32,0.01632,23.91,PanTHERIA_WR05
Peromyscus difficilis,Rodentia,Cricetidae,27.95,0.02795,25.9,PanTHERIA_WR05
Peromyscus eremicus,Rodentia,Cricetidae,22.73,0.02273,20.88,PanTHERIA_WR05
Peromyscus gossypinus,Rodentia,Cricetidae,27.68,0.02768,22.33,PanTHERIA_WR05
Peromyscus hooperi,Rodentia,Cricetidae,35.99,0.03599,22.67,PanTHERIA_WR05
Peromyscus leucopus,Rodentia,Cricetidae,18.07,0.01807,21.49,PanTHERIA_WR05
Pteronura brasiliensis,Carnivora,Mustelidae,26000,26,120.48,PanTHERIA_WR05
Pteropus alecto,Chiroptera,Pteropodidae,610.13,0.61013,89.17,PanTHERIA_WR05
Peromyscus maniculatus,Rodentia,Cricetidae,19.98,0.01998,22.49,PanTHERIA_WR05
Peromyscus megalops,Rodentia,Cricetidae,66.2,0.0662,21.99,PanTHERIA_WR05
Peromyscus melanocarpus,Rodentia,Cricetidae,58.9,0.0589,25.8,PanTHERIA_WR05
Peromyscus melanophrys,Rodentia,Cricetidae,40,0.04,26,PanTHERIA_WR05
Peromyscus mexicanus,Rodentia,Cricetidae,42.58,0.04258,31.22,PanTHERIA_WR05
Peromyscus perfulvus,Rodentia,Cricetidae,40,0.04,24.85,PanTHERIA_WR05
Peromyscus polionotus,Rodentia,Cricetidae,14.27,0.01427,24.24,PanTHERIA_WR05
Peromyscus truei,Rodentia,Cricetidae,27,0.027,32.28,PanTHERIA_WR05
Peropteryx kappleri,Chiroptera,Emballonuridae,9.85,0.00985,79.82,PanTHERIA_WR05
Petaurista petaurista,Rodentia,Sciuridae,1533.84,1.53384,68.43,PanTHERIA_WR05
Petauroides volans,Diprotodontia,Pseudocheiridae,1257.17,1.25717,228.41,PanTHERIA_WR05
Petaurus australis,Diprotodontia,Petauridae,567.15,0.56715,148.07,PanTHERIA_WR05
Petaurus breviceps,Diprotodontia,Petauridae,120.76,0.12076,118.65,PanTHERIA_WR05
Petaurus norfolcensis,Diprotodontia,Petauridae,230,0.23,120.48,PanTHERIA_WR05
Petrogale assimilis,Diprotodontia,Macropodidae,4618.88,4.61888,294.19,PanTHERIA_WR05
Petrogale concinna,Diprotodontia,Macropodidae,1398.2,1.3982,191.15,PanTHERIA_WR05
Petrogale inornata,Diprotodontia,Macropodidae,4555.52,4.55552,286.18,PanTHERIA_WR05
Petrogale penicillata,Diprotodontia,Macropodidae,6931.6,6.9316,290,PanTHERIA_WR05
Petrogale persephone,Diprotodontia,Macropodidae,5585.63,5.58563,329.06,PanTHERIA_WR05
Petrogale xanthopus,Diprotodontia,Macropodidae,8499.99,8.49999,342.05,PanTHERIA_WR05
Petromyscus collinus,Rodentia,Nesomyidae,20,0.02,31.5,PanTHERIA_WR05
Phacochoerus aethiopicus,Artiodactyla,Suidae,75607.52,75.60752,106.45,PanTHERIA_WR05
Phalanger gymnotis,Diprotodontia,Phalangeridae,2597.89,2.59789,270,PanTHERIA_WR05
Phascogale calura,Dasyuromorphia,Dasyuridae,43.03,0.04303,89.99,PanTHERIA_WR05
Phascogale tapoatafa,Dasyuromorphia,Dasyuridae,192.65,0.19265,149.57,PanTHERIA_WR05
Phascolarctos cinereus,Diprotodontia,Phascolarctidae,6528.74,6.52874,347.53,PanTHERIA_WR05
Phenacomys intermedius,Rodentia,Cricetidae,25.2,0.0252,30.93,PanTHERIA_WR05
Phenacomys ungava,Rodentia,Cricetidae,27,0.027,17.86,PanTHERIA_WR05
Philander opossum,Didelphimorphia,Didelphidae,425.81,0.42581,79.77,PanTHERIA_WR05
Philantomba maxwellii,Artiodactyla,Bovidae,8557.69,8.55769,60.48,PanTHERIA_WR05
Philantomba monticola,Artiodactyla,Bovidae,4896.05,4.89605,27.28,PanTHERIA_WR05
Phoca largha,Carnivora,Phocidae,98879.18,98.87918,27.84,PanTHERIA_WR05
Phoca vitulina,Carnivora,Phocidae,87316.66,87.31666,30.74,PanTHERIA_WR05
Phocarctos hookeri,Carnivora,Otariidae,273499.99,273.49999,252.01,PanTHERIA_WR05
Phyllostomus hastatus,Chiroptera,Phyllostomidae,91.44,0.09144,72.82,PanTHERIA_WR05
Proechimys guairae,Rodentia,Echimyidae,349.28,0.34928,10.21,PanTHERIA_WR05
Proechimys guyannensis,Rodentia,Echimyidae,314.03,0.31403,28,PanTHERIA_WR05
Proechimys semispinosus,Rodentia,Echimyidae,353.32,0.35332,41.2,PanTHERIA_WR05
Profelis aurata,Carnivora,Felidae,11277.17,11.27717,119.32,PanTHERIA_WR05
Prometheomys schaposchnikowi,Rodentia,Cricetidae,75,0.075,21,PanTHERIA_WR05
Promops centralis,Chiroptera,Molossidae,29.8,0.0298,41.99,PanTHERIA_WR05
Propithecus coquereli,Primates,Indriidae,4189.27,4.18927,180.96,PanTHERIA_WR05
Propithecus diadema,Primates,Indriidae,6568.99,6.56899,256.27,PanTHERIA_WR05
Propithecus tattersalli,Primates,Indriidae,3531.39,3.53139,152.13,PanTHERIA_WR05
Propithecus verreauxi,Primates,Indriidae,3588.26,3.58826,177.83,PanTHERIA_WR05
Ptenochirus jagori,Chiroptera,Pteropodidae,79.18,0.07918,89.99,PanTHERIA_WR05
Pteropus conspicillatus,Chiroptera,Pteropodidae,760.71,0.76071,139.51,PanTHERIA_WR05
Pteropus giganteus,Chiroptera,Pteropodidae,824.85,0.82485,152.08,PanTHERIA_WR05
Rhynchocyon chrysopygus,Macroscelidea,Macroscelididae,535.2,0.5352,14,PanTHERIA_WR05
Rhynchonycteris naso,Chiroptera,Emballonuridae,4.14,0.00414,70.86,PanTHERIA_WR05
Romerolagus diazi,Lagomorpha,Leporidae,465.58,0.46558,28.71,PanTHERIA_WR05
Rousettus aegyptiacus,Chiroptera,Pteropodidae,134,0.134,105,PanTHERIA_WR05
Rousettus amplexicaudatus,Chiroptera,Pteropodidae,74.37,0.07437,86.16,PanTHERIA_WR05
Sorex minutus,Soricomorpha,Soricidae,4.32,0.00432,23.5,PanTHERIA_WR05
Sorex monticolus,Soricomorpha,Soricidae,6.92,0.00692,20.88,PanTHERIA_WR05
Physeter catodon,Cetacea,Physeteridae,14540960,14540.96,395.41,PanTHERIA_WR05
Piliocolobus badius,Primates,Cercopithecidae,8430.4,8.4304,783.93,PanTHERIA_WR05
Pseudorca crassidens,Cetacea,Delphinidae,1360000,1360,547.5,PanTHERIA_WR05
Pteropus hypomelanus,Chiroptera,Pteropodidae,435.61,0.43561,94.86,PanTHERIA_WR05
Pipistrellus ceylonicus,Chiroptera,Vespertilionidae,8.05,0.00805,27.5,PanTHERIA_WR05
Pipistrellus kuhlii,Chiroptera,Vespertilionidae,6.07,0.00607,60.41,PanTHERIA_WR05
Pipistrellus pipistrellus,Chiroptera,Vespertilionidae,5.3,0.0053,33.44,PanTHERIA_WR05
Pipistrellus subflavus,Chiroptera,Vespertilionidae,5.74,0.00574,31.21,PanTHERIA_WR05
Pipistrellus tenuis,Chiroptera,Vespertilionidae,3.48,0.00348,44.8,PanTHERIA_WR05
Pithecia pithecia,Primates,Pitheciidae,1667.19,1.66719,113.15,PanTHERIA_WR05
Planigale gilesi,Dasyuromorphia,Dasyuridae,9.34,0.00934,83.52,PanTHERIA_WR05
Planigale ingrami,Dasyuromorphia,Dasyuridae,6.27,0.00627,89.74,PanTHERIA_WR05
Planigale maculata,Dasyuromorphia,Dasyuridae,12,0.012,70.72,PanTHERIA_WR05
Planigale tenuirostris,Dasyuromorphia,Dasyuridae,6.27,0.00627,94.46,PanTHERIA_WR05
Platanista gangetica,Cetacea,Platanistidae,93481.96,93.48196,339.47,PanTHERIA_WR05
Platanista minor,Cetacea,Platanistidae,75990.24,75.99024,339.47,PanTHERIA_WR05
Plecotus auritus,Chiroptera,Vespertilionidae,8.19,0.00819,42.09,PanTHERIA_WR05
Podomys floridanus,Rodentia,Cricetidae,30.74,0.03074,24.81,PanTHERIA_WR05
Poecilogale albinucha,Carnivora,Mustelidae,308.16,0.30816,76.56,PanTHERIA_WR05
Pongo pygmaeus,Primates,Hominidae,53408.29,53.40829,1088.8,PanTHERIA_WR05
Pontoporia blainvillei,Cetacea,Iniidae,40499.99,40.49999,316.09,PanTHERIA_WR05
Potorous gilbertii,Diprotodontia,Potoroidae,1569.46,1.56946,208.67,PanTHERIA_WR05
Potorous longipes,Diprotodontia,Potoroidae,1835.06,1.83506,161,PanTHERIA_WR05
Potorous tridactylus,Diprotodontia,Potoroidae,1054.67,1.05467,167.33,PanTHERIA_WR05
Potos flavus,Carnivora,Procyonidae,2441.81,2.44181,109.13,PanTHERIA_WR05
Praomys jacksoni,Rodentia,Muridae,39.01,0.03901,30,PanTHERIA_WR05
Praomys morio,Rodentia,Muridae,41.73,0.04173,30.77,PanTHERIA_WR05
Praomys tullbergi,Rodentia,Muridae,37.1,0.0371,24.5,PanTHERIA_WR05
Priodontes maximus,Cingulata,Dasypodidae,40641.89,40.64189,34.8,PanTHERIA_WR05
Prionailurus bengalensis,Carnivora,Felidae,2780.97,2.78097,24.85,PanTHERIA_WR05
Prionailurus viverrinus,Carnivora,Felidae,8826.46,8.82646,135.96,PanTHERIA_WR05
Procapra gutturosa,Artiodactyla,Bovidae,28274.27,28.27427,38.97,PanTHERIA_WR05
Procavia capensis,Hyracoidea,Procaviidae,2952.48,2.95248,90.99,PanTHERIA_WR05
Procyon cancrivorus,Carnivora,Procyonidae,6931.72,6.93172,111.36,PanTHERIA_WR05
Procyon lotor,Carnivora,Procyonidae,6373.72,6.37372,104.16,PanTHERIA_WR05
Proteles cristata,Carnivora,Hyaenidae,8139.39,8.13939,125.73,PanTHERIA_WR05
Protochromys fellowsi,Rodentia,Muridae,78.99,0.07899,20,PanTHERIA_WR05
Psammomys obesus,Rodentia,Muridae,102.15,0.10215,24.18,PanTHERIA_WR05
Pseudantechinus bilarni,Dasyuromorphia,Dasyuridae,23.05,0.02305,111.36,PanTHERIA_WR05
Pseudantechinus macdonnellensis,Dasyuromorphia,Dasyuridae,36.88,0.03688,97.72,PanTHERIA_WR05
Pseudantechinus ningbing,Dasyuromorphia,Dasyuridae,20.74,0.02074,111.68,PanTHERIA_WR05
Pseudocheirus peregrinus,Diprotodontia,Pseudocheiridae,895.22,0.89522,197.14,PanTHERIA_WR05
Pseudochirulus herbertensis,Diprotodontia,Pseudocheiridae,1098.34,1.09834,159.09,PanTHERIA_WR05
Pseudomys albocinereus,Rodentia,Muridae,30.5,0.0305,29.58,PanTHERIA_WR05
Pseudomys apodemoides,Rodentia,Muridae,23.78,0.02378,34.99,PanTHERIA_WR05
Pseudomys australis,Rodentia,Muridae,52.97,0.05297,25.9,PanTHERIA_WR05
Pseudomys delicatulus,Rodentia,Muridae,8.56,0.00856,27,PanTHERIA_WR05
Pseudomys desertor,Rodentia,Muridae,37.09,0.03709,24.49,PanTHERIA_WR05
Pseudomys fieldi,Rodentia,Muridae,42.35,0.04235,28.9,PanTHERIA_WR05
Pseudomys gracilicaudatus,Rodentia,Muridae,79.53,0.07953,25.66,PanTHERIA_WR05
Pseudomys hermannsburgensis,Rodentia,Muridae,13.38,0.01338,30,PanTHERIA_WR05
Pseudomys higginsi,Rodentia,Muridae,63.16,0.06316,27,PanTHERIA_WR05
Pseudomys nanus,Rodentia,Muridae,70.38,0.07038,25,PanTHERIA_WR05
Pseudomys novaehollandiae,Rodentia,Muridae,16.8,0.0168,25.2,PanTHERIA_WR05
Pteropus livingstonii,Chiroptera,Pteropodidae,734.27,0.73427,151.22,PanTHERIA_WR05
Pteropus macrotis,Chiroptera,Pteropodidae,365.99,0.36599,350.78,PanTHERIA_WR05
Pteropus poliocephalus,Chiroptera,Pteropodidae,702.78,0.70278,120,PanTHERIA_WR05
Pteropus rayneri,Chiroptera,Pteropodidae,661.28,0.66128,181.36,PanTHERIA_WR05
Pteropus rodricensis,Chiroptera,Pteropodidae,256.17,0.25617,149.74,PanTHERIA_WR05
Pteropus samoensis,Chiroptera,Pteropodidae,309.99,0.30999,143.2,PanTHERIA_WR05
Pteropus scapulatus,Chiroptera,Pteropodidae,380.35,0.38035,133.76,PanTHERIA_WR05
Pteropus tonganus,Chiroptera,Pteropodidae,561.51,0.56151,143.2,PanTHERIA_WR05
Pteropus vampyrus,Chiroptera,Pteropodidae,1027.54,1.02754,104.69,PanTHERIA_WR05
Pteropus voeltzkowi,Chiroptera,Pteropodidae,542.4,0.5424,143.2,PanTHERIA_WR05
Pudu puda,Artiodactyla,Cervidae,9642.62,9.64262,54.75,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,53954.05,53.95405,48.46,PanTHERIA_WR05
Pusa caspica,Carnivora,Phocidae,62326.2,62.3262,31.32,PanTHERIA_WR05
Pusa hispida,Carnivora,Phocidae,70963.6,70.9636,45.23,PanTHERIA_WR05
Rhizomys sumatrensis,Rodentia,Spalacidae,2500,2.5,69.25,PanTHERIA_WR05
Pusa sibirica,Carnivora,Phocidae,89499.99,89.49999,66.11,PanTHERIA_WR05
Rhizomys pruinosus,Rodentia,Spalacidae,2450,2.45,120.75,PanTHERIA_WR05
Rousettus leschenaultii,Chiroptera,Pteropodidae,84.88,0.08488,52.34,PanTHERIA_WR05
Rucervus eldii,Artiodactyla,Cervidae,95471.61,95.47161,220.26,PanTHERIA_WR05
Rupicapra rupicapra,Artiodactyla,Bovidae,33266.35,33.26635,76.04,PanTHERIA_WR05
Rusa timorensis,Artiodactyla,Cervidae,66375.5,66.3755,227.47,PanTHERIA_WR05
Saccopteryx bilineata,Chiroptera,Emballonuridae,8.08,0.00808,59.99,PanTHERIA_WR05
Saccostomus campestris,Rodentia,Nesomyidae,50.33,0.05033,28.97,PanTHERIA_WR05
Saguinus fuscicollis,Primates,Cebidae,393.99,0.39399,90.1,PanTHERIA_WR05
Rangifer tarandus,Artiodactyla,Cervidae,109088.5,109.0885,136.87,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,11661.53,11.66153,49.89,PanTHERIA_WR05
Rattus exulans,Rodentia,Muridae,50.63,0.05063,28,PanTHERIA_WR05
Rattus fuscipes,Rodentia,Muridae,124.58,0.12458,25.38,PanTHERIA_WR05
Rattus lutreolus,Rodentia,Muridae,106,0.106,25,PanTHERIA_WR05
Rattus norvegicus,Rodentia,Muridae,282.89,0.28289,25.37,PanTHERIA_WR05
Rattus rattus,Rodentia,Muridae,142.68,0.14268,28,PanTHERIA_WR05
Rattus verecundus,Rodentia,Muridae,97.02,0.09702,19.5,PanTHERIA_WR05
Ratufa bicolor,Rodentia,Sciuridae,1609.08,1.60908,68.2,PanTHERIA_WR05
Ratufa macroura,Rodentia,Sciuridae,1326.24,1.32624,62.99,PanTHERIA_WR05
Redunca fulvorufula,Artiodactyla,Bovidae,29352.66,29.35266,82.12,PanTHERIA_WR05
Reithrodontomys fulvescens,Rodentia,Cricetidae,11.55,0.01155,14.44,PanTHERIA_WR05
Reithrodontomys humulis,Rodentia,Cricetidae,8.25,0.00825,20.92,PanTHERIA_WR05
Reithrodontomys megalotis,Rodentia,Cricetidae,10.72,0.01072,20,PanTHERIA_WR05
Reithrodontomys montanus,Rodentia,Cricetidae,10.9,0.0109,14,PanTHERIA_WR05
Rhabdomys pumilio,Rodentia,Muridae,40.73,0.04073,14,PanTHERIA_WR05
Rhinoceros sondaicus,Perissodactyla,Rhinocerotidae,1750000,1750,509.21,PanTHERIA_WR05
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,1843655.8,1843.6558,339.47,PanTHERIA_WR05
Rhinolophus capensis,Chiroptera,Rhinolophidae,12.87,0.01287,60.41,PanTHERIA_WR05
Rhinolophus cornutus,Chiroptera,Rhinolophidae,7.27,0.00727,41.85,PanTHERIA_WR05
Rhinolophus euryale,Chiroptera,Rhinolophidae,9.25,0.00925,105.72,PanTHERIA_WR05
Rhinolophus ferrumequinum,Chiroptera,Rhinolophidae,22.59,0.02259,45.87,PanTHERIA_WR05
Rhinolophus fumigatus,Chiroptera,Rhinolophidae,13.09,0.01309,60.41,PanTHERIA_WR05
Rhinolophus hipposideros,Chiroptera,Rhinolophidae,4.57,0.00457,33.2,PanTHERIA_WR05
Rhinolophus landeri,Chiroptera,Rhinolophidae,9.39,0.00939,60.41,PanTHERIA_WR05
Rhinolophus megaphyllus,Chiroptera,Rhinolophidae,10.17,0.01017,57.22,PanTHERIA_WR05
Rhinolophus rouxii,Chiroptera,Rhinolophidae,12.25,0.01225,59.42,PanTHERIA_WR05
Rhinonicteris aurantia,Chiroptera,Hipposideridae,8.99,0.00899,59.99,PanTHERIA_WR05
Rhinopoma hardwickii,Chiroptera,Rhinopomatidae,13.1,0.0131,52.04,PanTHERIA_WR05
Rhinopoma microphyllum,Chiroptera,Rhinopomatidae,28.02,0.02802,31.3,PanTHERIA_WR05
Saguinus midas,Primates,Cebidae,540.56,0.54056,69.6,PanTHERIA_WR05
Saguinus nigricollis,Primates,Cebidae,450,0.45,82.53,PanTHERIA_WR05
Saguinus oedipus,Primates,Cebidae,462.04,0.46204,49.85,PanTHERIA_WR05
Saiga tatarica,Artiodactyla,Bovidae,37734.01,37.73401,83.64,PanTHERIA_WR05
Spalax leucodon,Rodentia,Spalacidae,188.67,0.18867,57.74,PanTHERIA_WR05
Speothos venaticus,Carnivora,Canidae,6324.54,6.32454,127.3,PanTHERIA_WR05
Spermophilus armatus,Rodentia,Sciuridae,306.48,0.30648,21.43,PanTHERIA_WR05
Spermophilus beecheyi,Rodentia,Sciuridae,597.82,0.59782,52.6,PanTHERIA_WR05
Spermophilus beldingi,Rodentia,Sciuridae,272.53,0.27253,24.5,PanTHERIA_WR05
Sorex vagrans,Soricomorpha,Soricidae,5.99,0.00599,21.83,PanTHERIA_WR05
Spermophilus columbianus,Rodentia,Sciuridae,470.94,0.47094,32.19,PanTHERIA_WR05
Spermophilus elegans,Rodentia,Sciuridae,324.45,0.32445,33.2,PanTHERIA_WR05
Saimiri oerstedii,Primates,Cebidae,714.18,0.71418,362.93,PanTHERIA_WR05
Saimiri sciureus,Primates,Cebidae,749.47,0.74947,177.41,PanTHERIA_WR05
Saimiri ustus,Primates,Cebidae,886.47,0.88647,238.64,PanTHERIA_WR05
Sarcophilus harrisii,Dasyuromorphia,Dasyuridae,8202.25,8.20225,243.33,PanTHERIA_WR05
Scalopus aquaticus,Soricomorpha,Talpidae,87.15,0.08715,30.18,PanTHERIA_WR05
Sciurus aberti,Rodentia,Sciuridae,622.95,0.62295,69.73,PanTHERIA_WR05
Sciurus carolinensis,Rodentia,Sciuridae,545.4,0.5454,69.47,PanTHERIA_WR05
Sciurus vulgaris,Rodentia,Sciuridae,333,0.333,64.51,PanTHERIA_WR05
Scotinomys teguina,Rodentia,Cricetidae,11.59,0.01159,21,PanTHERIA_WR05
Scotinomys xerampelinus,Rodentia,Cricetidae,15.07,0.01507,24.5,PanTHERIA_WR05
Scotophilus heathii,Chiroptera,Vespertilionidae,36.13,0.03613,19.17,PanTHERIA_WR05
Scotophilus kuhlii,Chiroptera,Vespertilionidae,20.31,0.02031,38.35,PanTHERIA_WR05
Scotorepens balstoni,Chiroptera,Vespertilionidae,11.92,0.01192,44.58,PanTHERIA_WR05
Semnopithecus entellus,Primates,Cercopithecidae,12679.29,12.67929,402.1,PanTHERIA_WR05
Setifer setosus,Afrosoricida,Tenrecidae,263.22,0.26322,25.22,PanTHERIA_WR05
Setonix brachyurus,Diprotodontia,Macropodidae,3027.67,3.02767,308.24,PanTHERIA_WR05
Sicista betulina,Rodentia,Dipodidae,8.92,0.00892,31.21,PanTHERIA_WR05
Sigmodon hispidus,Rodentia,Cricetidae,110.65,0.11065,15.29,PanTHERIA_WR05
Sigmodon ochrognathus,Rodentia,Cricetidae,122,0.122,15,PanTHERIA_WR05
Sminthopsis crassicaudata,Dasyuromorphia,Dasyuridae,15.98,0.01598,70,PanTHERIA_WR05
Sminthopsis leucopus,Dasyuromorphia,Dasyuridae,23.36,0.02336,84.51,PanTHERIA_WR05
Sminthopsis macroura,Dasyuromorphia,Dasyuridae,23.56,0.02356,79.5,PanTHERIA_WR05
Sminthopsis murina,Dasyuromorphia,Dasyuridae,17,0.017,70.63,PanTHERIA_WR05
Sminthopsis ooldea,Dasyuromorphia,Dasyuridae,12.19,0.01219,69.8,PanTHERIA_WR05
Sminthopsis virginiae,Dasyuromorphia,Dasyuridae,35.24,0.03524,89.49,PanTHERIA_WR05
Solenodon paradoxus,Soricomorpha,Solenodontidae,899.99,0.89999,74.71,PanTHERIA_WR05
Sorex araneus,Soricomorpha,Soricidae,9.18,0.00918,21.43,PanTHERIA_WR05
Sorex cinereus,Soricomorpha,Soricidae,4.2,0.0042,19.88,PanTHERIA_WR05
Sorex coronatus,Soricomorpha,Soricidae,9.32,0.00932,29.8,PanTHERIA_WR05
Sorex isodon,Soricomorpha,Soricidae,12.23,0.01223,21.87,PanTHERIA_WR05
Sousa chinensis,Cetacea,Delphinidae,279999.99,279.99999,166.12,PanTHERIA_WR05
Spalacopus cyanus,Rodentia,Octodontidae,100.86,0.10086,59.66,PanTHERIA_WR05
Aepyceros melampus,Artiodactyla,Bovidae,52591.69,52.59169,150,PanTHERIA_WR05
Aepyprymnus rufescens,Diprotodontia,Potoroidae,2810.31,2.81031,163.07,PanTHERIA_WR05
Spermophilus franklinii,Rodentia,Sciuridae,457.64,0.45764,29.11,PanTHERIA_WR05
Spermophilus lateralis,Rodentia,Sciuridae,175.1,0.1751,41.99,PanTHERIA_WR05
Spermophilus mohavensis,Rodentia,Sciuridae,213.18,0.21318,31.81,PanTHERIA_WR05
Spermophilus mollis,Rodentia,Sciuridae,165.4,0.1654,40.79,PanTHERIA_WR05
Spermophilus parryii,Rodentia,Sciuridae,747.09,0.74709,28,PanTHERIA_WR05
Spermophilus pygmaeus,Rodentia,Sciuridae,173.46,0.17346,15.59,PanTHERIA_WR05
Spermophilus richardsonii,Rodentia,Sciuridae,325.1,0.3251,29.33,PanTHERIA_WR05
Spermophilus spilosoma,Rodentia,Sciuridae,106.64,0.10664,47.64,PanTHERIA_WR05
Spermophilus suslicus,Rodentia,Sciuridae,252,0.252,31.5,PanTHERIA_WR05
Spermophilus tereticaudus,Rodentia,Sciuridae,147.57,0.14757,34.8,PanTHERIA_WR05
Spermophilus townsendii,Rodentia,Sciuridae,207.29,0.20729,32.55,PanTHERIA_WR05
Spermophilus tridecemlineatus,Rodentia,Sciuridae,174.91,0.17491,27.81,PanTHERIA_WR05
Spermophilus undulatus,Rodentia,Sciuridae,742.91,0.74291,54.07,PanTHERIA_WR05
Spermophilus variegatus,Rodentia,Sciuridae,714.58,0.71458,52.38,PanTHERIA_WR05
Aethomys chrysophilus,Rodentia,Muridae,80.85,0.08085,24.88,PanTHERIA_WR05
Aethomys kaiseri,Rodentia,Muridae,89.99,0.08999,26,PanTHERIA_WR05
Ailuropoda melanoleuca,Carnivora,Ursidae,117999.99,117.99999,178.98,PanTHERIA_WR05
Ailurus fulgens,Carnivora,Ailuridae,5170.08,5.17008,136.87,PanTHERIA_WR05
Spilocuscus maculatus,Diprotodontia,Phalangeridae,4060.46,4.06046,240.75,PanTHERIA_WR05
Spilogale putorius,Carnivora,Mephitidae,566.49,0.56649,55.68,PanTHERIA_WR05
Stenella attenuata,Cetacea,Delphinidae,65733.59,65.73359,340.66,PanTHERIA_WR05
Stenella coeruleoalba,Cetacea,Delphinidae,142102.96,142.10296,456.25,PanTHERIA_WR05
Stenella longirostris,Cetacea,Delphinidae,50500,50.5,465.88,PanTHERIA_WR05
Suncus etruscus,Soricomorpha,Soricidae,2.26,0.00226,20,PanTHERIA_WR05
Suncus murinus,Soricomorpha,Soricidae,43.76,0.04376,19.16,PanTHERIA_WR05
Tragelaphus strepsiceros,Artiodactyla,Bovidae,206056.41,206.05641,182.5,PanTHERIA_WR05
Tragulus javanicus,Artiodactyla,Tragulidae,1889.93,1.88993,21,PanTHERIA_WR05
Tragulus napu,Artiodactyla,Tragulidae,5273.67,5.27367,84.86,PanTHERIA_WR05
