species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Pusa caspica,Carnivora,Phocidae,62326.2,62.3262,1.47,PanTHERIA_WR05
Pusa hispida,Carnivora,Phocidae,70963.6,70.9636,0.95,PanTHERIA_WR05
Rusa unicolor,Artiodactyla,Cervidae,177522.9,177.5229,4.89,PanTHERIA_WR05
Rhipidomys mastacalis,Rodentia,Cricetidae,100,0.1,101.19,PanTHERIA_WR05
Pusa sibirica,Carnivora,Phocidae,89499.99,89.49999,1.58,PanTHERIA_WR05
Rucervus duvaucelii,Artiodactyla,Cervidae,171223.86,171.22386,11.24,PanTHERIA_WR05
Saccostomus campestris,Rodentia,Nesomyidae,50.33,0.05033,22.06,PanTHERIA_WR05
Saccostomus mearnsi,Rodentia,Nesomyidae,64.91,0.06491,3611.61,PanTHERIA_WR05
Saguinus fuscicollis,Primates,Cebidae,393.99,0.39399,19.49,PanTHERIA_WR05
Rangifer tarandus,Artiodactyla,Cervidae,109088.5,109.0885,2.55,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,11661.53,11.66153,1.27,PanTHERIA_WR05
Raphicerus melanotis,Artiodactyla,Bovidae,10503.14,10.50314,10.5,PanTHERIA_WR05
Raphicerus sharpei,Artiodactyla,Bovidae,9396.9,9.3969,0.51,PanTHERIA_WR05
Rattus everetti,Rodentia,Muridae,253.53,0.25353,153.38,PanTHERIA_WR05
Rattus exulans,Rodentia,Muridae,50.63,0.05063,7154.76,PanTHERIA_WR05
Rattus fuscipes,Rodentia,Muridae,124.58,0.12458,1069.81,PanTHERIA_WR05
Rattus lutreolus,Rodentia,Muridae,106,0.106,566.83,PanTHERIA_WR05
Rattus rattus,Rodentia,Muridae,142.68,0.14268,2640.54,PanTHERIA_WR05
Rattus tiomanicus,Rodentia,Muridae,119.29,0.11929,4912.07,PanTHERIA_WR05
Rattus villosissimus,Rodentia,Muridae,221.76,0.22176,2967.34,PanTHERIA_WR05
Ratufa affinis,Rodentia,Sciuridae,1155.82,1.15582,23.03,PanTHERIA_WR05
Ratufa bicolor,Rodentia,Sciuridae,1609.08,1.60908,9.74,PanTHERIA_WR05
Redunca arundinum,Artiodactyla,Bovidae,58059.24,58.05924,0.65,PanTHERIA_WR05
Redunca fulvorufula,Artiodactyla,Bovidae,29352.66,29.35266,7.77,PanTHERIA_WR05
Redunca redunca,Artiodactyla,Bovidae,43288.95,43.28895,1.03,PanTHERIA_WR05
Reithrodon auritus,Rodentia,Cricetidae,79.73,0.07973,61.11,PanTHERIA_WR05
Reithrodontomys chrysopsis,Rodentia,Cricetidae,19,0.019,380.91,PanTHERIA_WR05
Reithrodontomys fulvescens,Rodentia,Cricetidae,11.55,0.01155,639.1,PanTHERIA_WR05
Reithrodontomys humulis,Rodentia,Cricetidae,8.25,0.00825,326.97,PanTHERIA_WR05
Reithrodontomys megalotis,Rodentia,Cricetidae,10.72,0.01072,1152.39,PanTHERIA_WR05
Reithrodontomys montanus,Rodentia,Cricetidae,10.9,0.0109,300.58,PanTHERIA_WR05
Rhabdomys pumilio,Rodentia,Muridae,40.73,0.04073,1827.85,PanTHERIA_WR05
Rhinoceros sondaicus,Perissodactyla,Rhinocerotidae,1750000,1750,0.1,PanTHERIA_WR05
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,1843655.8,1843.6558,3.33,PanTHERIA_WR05
Rhinopithecus bieti,Primates,Cercopithecidae,11000.54,11.00054,2.5,PanTHERIA_WR05
Rhinopithecus brelichi,Primates,Cercopithecidae,12267.15,12.26715,16.92,PanTHERIA_WR05
Rhinopithecus roxellana,Primates,Cercopithecidae,13456.8,13.4568,4.6,PanTHERIA_WR05
Rhinosciurus laticaudatus,Rodentia,Sciuridae,230.3,0.2303,9.56,PanTHERIA_WR05
Saguinus geoffroyi,Primates,Cebidae,492.5,0.4925,5.13,PanTHERIA_WR05
Saguinus imperator,Primates,Cebidae,407.91,0.40791,18.39,PanTHERIA_WR05
Saguinus labiatus,Primates,Cebidae,508.46,0.50846,14.08,PanTHERIA_WR05
Saguinus leucopus,Primates,Cebidae,456.68,0.45668,10.57,PanTHERIA_WR05
Saguinus midas,Primates,Cebidae,540.56,0.54056,10.98,PanTHERIA_WR05
Saguinus mystax,Primates,Cebidae,555.87,0.55587,30.98,PanTHERIA_WR05
Saguinus nigricollis,Primates,Cebidae,450,0.45,13.33,PanTHERIA_WR05
Saguinus oedipus,Primates,Cebidae,462.04,0.46204,45.52,PanTHERIA_WR05
Saiga tatarica,Artiodactyla,Bovidae,37734.01,37.73401,0.75,PanTHERIA_WR05
Saimiri boliviensis,Primates,Cebidae,799.45,0.79945,28.7,PanTHERIA_WR05
Spermophilus armatus,Rodentia,Sciuridae,306.48,0.30648,4544.01,PanTHERIA_WR05
Spermophilus beecheyi,Rodentia,Sciuridae,597.82,0.59782,1100.45,PanTHERIA_WR05
Spermophilus beldingi,Rodentia,Sciuridae,272.53,0.27253,2378.64,PanTHERIA_WR05
Sorex unguiculatus,Soricomorpha,Soricidae,14.11,0.01411,3093.28,PanTHERIA_WR05
Sorex vagrans,Soricomorpha,Soricidae,5.99,0.00599,1759.54,PanTHERIA_WR05
Spermophilus columbianus,Rodentia,Sciuridae,470.94,0.47094,2894.51,PanTHERIA_WR05
Spermophilus elegans,Rodentia,Sciuridae,324.45,0.32445,2834.47,PanTHERIA_WR05
Saimiri oerstedii,Primates,Cebidae,714.18,0.71418,128.8,PanTHERIA_WR05
Saimiri sciureus,Primates,Cebidae,749.47,0.74947,36.09,PanTHERIA_WR05
Sarcophilus harrisii,Dasyuromorphia,Dasyuridae,8202.25,8.20225,5.9,PanTHERIA_WR05
Scalopus aquaticus,Soricomorpha,Talpidae,87.15,0.08715,950,PanTHERIA_WR05
Scapanus latimanus,Soricomorpha,Talpidae,62.46,0.06246,4999.99,PanTHERIA_WR05
Scapanus orarius,Soricomorpha,Talpidae,62.13,0.06213,4999.99,PanTHERIA_WR05
Sciurus aberti,Rodentia,Sciuridae,622.95,0.62295,114,PanTHERIA_WR05
Sciurus aureogaster,Rodentia,Sciuridae,455.57,0.45557,221.14,PanTHERIA_WR05
Sciurus carolinensis,Rodentia,Sciuridae,545.4,0.5454,690,PanTHERIA_WR05
Sciurus deppei,Rodentia,Sciuridae,249.5,0.2495,94.11,PanTHERIA_WR05
Sciurus granatensis,Rodentia,Sciuridae,318.44,0.31844,77.94,PanTHERIA_WR05
Sciurus griseus,Rodentia,Sciuridae,703.85,0.70385,239.99,PanTHERIA_WR05
Sciurus spadiceus,Rodentia,Sciuridae,403.32,0.40332,76.71,PanTHERIA_WR05
Sciurus vulgaris,Rodentia,Sciuridae,333,0.333,59.7,PanTHERIA_WR05
Semnopithecus entellus,Primates,Cercopithecidae,12679.29,12.67929,17.28,PanTHERIA_WR05
Setonix brachyurus,Diprotodontia,Macropodidae,3027.67,3.02767,580,PanTHERIA_WR05
Sigmodon alstoni,Rodentia,Cricetidae,55.7,0.0557,157.54,PanTHERIA_WR05
Sigmodon fulviventer,Rodentia,Cricetidae,195.94,0.19594,1293.22,PanTHERIA_WR05
Sigmodon hispidus,Rodentia,Cricetidae,110.65,0.11065,1750,PanTHERIA_WR05
Simias concolor,Primates,Cercopithecidae,7393.9,7.3939,10.9,PanTHERIA_WR05
Sminthopsis crassicaudata,Dasyuromorphia,Dasyuridae,15.98,0.01598,49.99,PanTHERIA_WR05
Sminthopsis leucopus,Dasyuromorphia,Dasyuridae,23.36,0.02336,617.99,PanTHERIA_WR05
Sminthopsis murina,Dasyuromorphia,Dasyuridae,17,0.017,599.99,PanTHERIA_WR05
Sorex araneus,Soricomorpha,Soricidae,9.18,0.00918,1859.01,PanTHERIA_WR05
Sorex arcticus,Soricomorpha,Soricidae,8.19,0.00819,502.74,PanTHERIA_WR05
Sorex caecutiens,Soricomorpha,Soricidae,6.3,0.0063,1643.9,PanTHERIA_WR05
Sorex cinereus,Soricomorpha,Soricidae,4.2,0.0042,1111.97,PanTHERIA_WR05
Sorex coronatus,Soricomorpha,Soricidae,9.32,0.00932,1345.01,PanTHERIA_WR05
Sorex fumeus,Soricomorpha,Soricidae,7.83,0.00783,3383.55,PanTHERIA_WR05
Sorex hoyi,Soricomorpha,Soricidae,3.37,0.00337,52,PanTHERIA_WR05
Sorex isodon,Soricomorpha,Soricidae,12.23,0.01223,567.57,PanTHERIA_WR05
Sorex longirostris,Soricomorpha,Soricidae,3.29,0.00329,61.11,PanTHERIA_WR05
Spalacopus cyanus,Rodentia,Octodontidae,100.86,0.10086,4500,PanTHERIA_WR05
Aepyceros melampus,Artiodactyla,Bovidae,52591.69,52.59169,13.36,PanTHERIA_WR05
Aepyprymnus rufescens,Diprotodontia,Potoroidae,2810.31,2.81031,40,PanTHERIA_WR05
Spermophilus franklinii,Rodentia,Sciuridae,457.64,0.45764,442.88,PanTHERIA_WR05
Spermophilus fulvus,Rodentia,Sciuridae,778.38,0.77838,423.39,PanTHERIA_WR05
Spermophilus mohavensis,Rodentia,Sciuridae,213.18,0.21318,301.99,PanTHERIA_WR05
Spermophilus mollis,Rodentia,Sciuridae,165.4,0.1654,2179.42,PanTHERIA_WR05
Spermophilus pygmaeus,Rodentia,Sciuridae,173.46,0.17346,1107.21,PanTHERIA_WR05
Spermophilus relictus,Rodentia,Sciuridae,599.99,0.59999,244.94,PanTHERIA_WR05
Spermophilus richardsonii,Rodentia,Sciuridae,325.1,0.3251,374.69,PanTHERIA_WR05
Spermophilus spilosoma,Rodentia,Sciuridae,106.64,0.10664,124.53,PanTHERIA_WR05
Spermophilus tereticaudus,Rodentia,Sciuridae,147.57,0.14757,1456.02,PanTHERIA_WR05
Spermophilus townsendii,Rodentia,Sciuridae,207.29,0.20729,759.22,PanTHERIA_WR05
Spermophilus tridecemlineatus,Rodentia,Sciuridae,174.91,0.17491,386.61,PanTHERIA_WR05
Spermophilus undulatus,Rodentia,Sciuridae,742.91,0.74291,292.3,PanTHERIA_WR05
Spermophilus variegatus,Rodentia,Sciuridae,714.58,0.71458,136.99,PanTHERIA_WR05
Spermophilus washingtoni,Rodentia,Sciuridae,215.09,0.21509,18500,PanTHERIA_WR05
Sphiggurus insidiosus,Rodentia,Erethizontidae,998.32,0.99832,26.3,PanTHERIA_WR05
Aethomys chrysophilus,Rodentia,Muridae,80.85,0.08085,66.18,PanTHERIA_WR05
Aethomys hindei,Rodentia,Muridae,140.65,0.14065,2191.47,PanTHERIA_WR05
Ailuropoda melanoleuca,Carnivora,Ursidae,117999.99,117.99999,0.18,PanTHERIA_WR05
