species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Spizella arborea,Aves,Passeriformes,Passerellidae,0.0166,19.850402,W/kg,AnimalTraits
Junco hyemalis,Aves,Passeriformes,Passerellidae,0.018,16.421991,W/kg,AnimalTraits
Melospiza melodia,Aves,Passeriformes,Passerellidae,0.0186,20.321237,W/kg,AnimalTraits
Zonotrichia albicollis,Aves,Passeriformes,Passerellidae,0.0236,19.506532,W/kg,AnimalTraits
Passerella iliaca,Aves,Passeriformes,Passerellidae,0.0317,17.273791,W/kg,AnimalTraits
Molothrus ater,Aves,Passeriformes,Icteridae,0.0337,15.81726,W/kg,AnimalTraits
Corvus cryptoleucus,Aves,Passeriformes,Corvidae,0.64,5.9815755,W/kg,AnimalTraits
Corvus corax,Aves,Passeriformes,Corvidae,0.866,5.3102723,W/kg,AnimalTraits
Excalfactoria chinensis,Aves,Galliformes,Phasianidae,0.0427,6.8091335,W/kg,AnimalTraits
Colinus virginianus,Aves,Galliformes,Odontophoridae,0.194,5.7450601,W/kg,AnimalTraits
Leptotila verreauxi,Aves,Columbiformes,Columbidae,0.131,6.7693702,W/kg,AnimalTraits
Ceratopipra mentalis,Aves,Passeriformes,Pipridae,0.0145,20.519598,W/kg,AnimalTraits
Manacus vitellinus,Aves,Passeriformes,Pipridae,0.0182,12.993223,W/kg,AnimalTraits
Manacus vitellinus,Aves,Passeriformes,Pipridae,0.015,19.092583,W/kg,AnimalTraits
Xiphorhynchus guttatus,Aves,Passeriformes,Furnariidade,0.0452,9.8739215,W/kg,AnimalTraits
Thamnophilus punctatus,Aves,Passeriformes,Thamnophilidae,0.021,16.268155,W/kg,AnimalTraits
Lonchura malacca,Aves,Passeriformes,Estrildidae,0.0118,11.946798,W/kg,AnimalTraits
Lonchura maja,Aves,Passeriformes,Estrildidae,0.0128,11.890553,W/kg,AnimalTraits
Passer montanus,Aves,Passeriformes,Passeridae,0.0175,11.296296,W/kg,AnimalTraits
Pycnonotus goiavier,Aves,Passeriformes,Pycnonotidae,0.0286,8.5551023,W/kg,AnimalTraits
Arachnothera longirostra,Aves,Passeriformes,Nectariniidae,0.013,14.503205,W/kg,AnimalTraits
Copsychus saularis,Aves,Passeriformes,Muscicapidae,0.0335,6.8995301,W/kg,AnimalTraits
Pycnonotus finlaysoni,Aves,Passeriformes,Pycnonotidae,0.0263,8.5507323,W/kg,AnimalTraits
Malacopteron cinereum,Aves,Passeriformes,Pellorneidae,0.0158,13.368788,W/kg,AnimalTraits
Alophoixus bres,Aves,Passeriformes,Pycnonotidae,0.035,10.14881,W/kg,AnimalTraits
Arachnothera flavigaster,Aves,Passeriformes,Nectariniidae,0.0363,8.2262014,W/kg,AnimalTraits
Hypothymis azurea,Aves,Passeriformes,Monarchidae,0.0108,12.860082,W/kg,AnimalTraits
Chloropsis sonnerati,Aves,Cuculiformes,Chloropseidae,0.0397,9.5333053,W/kg,AnimalTraits
Cacomantis variolosus,Aves,Cuculiformes,Cuculidae,0.0238,5.1062092,W/kg,AnimalTraits
Lanius cristatus,Aves,Passeriformes,Laniidae,0.0268,9.4147319,W/kg,AnimalTraits
Acrocephalus arundinaceus,Aves,Passeriformes,Acrocephalidae,0.0269,9.5088118,W/kg,AnimalTraits
Acrocephalus bistrigiceps,Aves,Passeriformes,Acrocephalidae,0.0219,5.8663115,W/kg,AnimalTraits
Larvivora cyane,Aves,Passeriformes,Muscicapidae,0.0079,21.97609,W/kg,AnimalTraits
Otus scops,Aves,Strigiformes,Strigidae,0.0134,26.430348,W/kg,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0784,35.726096,W/kg,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0867,27.767098,W/kg,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0845,24.38089,W/kg,AnimalTraits
Melanerpes formicivorus,Aves,Piciformes,Picidae,0.0794,22.011148,W/kg,AnimalTraits
Callipepla gambelii,Aves,Galliformes,Odontophoridae,0.145,3.697318,W/kg,AnimalTraits
Callipepla gambelii,Aves,Galliformes,Odontophoridae,0.145,5.0574713,W/kg,AnimalTraits
Ardenna pacificus,Aves,Procellariiformes,Procellariidae,0.3378,4.4444444,W/kg,AnimalTraits
Puffinus nativitatis,Aves,Procellariiformes,Procellariidae,0.3076,4.8333333,W/kg,AnimalTraits
