geofips,name,population,wages_thousands_usd,year,source
29700,"Laredo, TX (Metropolitan Statistical Area)",251337,2857595,2010,BEA_CA30_via_Bettencourt2020
29740,"Las Cruces, NM (Metropolitan Statistical Area)",210202,2607950,2010,BEA_CA30_via_Bettencourt2020
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",1953378,36581350,2010,BEA_CA30_via_Bettencourt2020
29940,"Lawrence, KS (Metropolitan Statistical Area)",111242,1698934,2010,BEA_CA30_via_Bettencourt2020
30020,"Lawton, OK (Metropolitan Statistical Area)",131563,2449160,2010,BEA_CA30_via_Bettencourt2020
30140,"Lebanon, PA (Metropolitan Statistical Area)",133673,1813102,2010,BEA_CA30_via_Bettencourt2020
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",61045,939807,2010,BEA_CA30_via_Bettencourt2020
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",107706,1823404,2010,BEA_CA30_via_Bettencourt2020
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",473464,10173748,2010,BEA_CA30_via_Bettencourt2020
30620,"Lima, OH (Metropolitan Statistical Area)",106405,1973509,2010,BEA_CA30_via_Bettencourt2020
30700,"Lincoln, NE (Metropolitan Statistical Area)",302985,6568058,2010,BEA_CA30_via_Bettencourt2020
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",702416,14454882,2010,BEA_CA30_via_Bettencourt2020
30860,"Logan, UT-ID (Metropolitan Statistical Area)",126160,1687576,2010,BEA_CA30_via_Bettencourt2020
30980,"Longview, TX (Metropolitan Statistical Area)",214732,4026387,2010,BEA_CA30_via_Bettencourt2020
31020,"Longview, WA (Metropolitan Statistical Area)",102417,1491555,2010,BEA_CA30_via_Bettencourt2020
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",12843875,2.9912148e+08,2010,BEA_CA30_via_Bettencourt2020
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1237810,24929917,2010,BEA_CA30_via_Bettencourt2020
31180,"Lubbock, TX (Metropolitan Statistical Area)",292203,4683414,2010,BEA_CA30_via_Bettencourt2020
31340,"Lynchburg, VA (Metropolitan Statistical Area)*",253054,3999522,2010,BEA_CA30_via_Bettencourt2020
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",232260,3720824,2010,BEA_CA30_via_Bettencourt2020
31460,"Madera, CA (Metropolitan Statistical Area)",151125,1640002,2010,BEA_CA30_via_Bettencourt2020
31540,"Madison, WI (Metropolitan Statistical Area)",606557,15255055,2010,BEA_CA30_via_Bettencourt2020
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",401016,10128786,2010,BEA_CA30_via_Bettencourt2020
31740,"Manhattan, KS (Metropolitan Statistical Area)",93319,1381968,2010,BEA_CA30_via_Bettencourt2020
31860,"Mankato-North Mankato, MN (Metropolitan Statistical Area)",96840,1804824,2010,BEA_CA30_via_Bettencourt2020
31900,"Mansfield, OH (Metropolitan Statistical Area)",124173,1832201,2010,BEA_CA30_via_Bettencourt2020
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",779143,7011411,2010,BEA_CA30_via_Bettencourt2020
32780,"Medford, OR (Metropolitan Statistical Area)",203413,2802168,2010,BEA_CA30_via_Bettencourt2020
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1326410,27478415,2010,BEA_CA30_via_Bettencourt2020
32900,"Merced, CA (Metropolitan Statistical Area)",256832,2543150,2010,BEA_CA30_via_Bettencourt2020
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",5585605,1.0698131e+08,2010,BEA_CA30_via_Bettencourt2020
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",111454,1563937,2010,BEA_CA30_via_Bettencourt2020
33220,"Midland, MI (Metropolitan Statistical Area)",83664,1883591,2010,BEA_CA30_via_Bettencourt2020
33260,"Midland, TX (Metropolitan Statistical Area)",141806,3755137,2010,BEA_CA30_via_Bettencourt2020
33340,"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",1556715,38046104,2010,BEA_CA30_via_Bettencourt2020
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3355540,91735372,2010,BEA_CA30_via_Bettencourt2020
33540,"Missoula, MT (Metropolitan Statistical Area)",109455,1975221,2010,BEA_CA30_via_Bettencourt2020
33660,"Mobile, AL (Metropolitan Statistical Area)",413332,7330736,2010,BEA_CA30_via_Bettencourt2020
33700,"Modesto, CA (Metropolitan Statistical Area)",515334,6773888,2010,BEA_CA30_via_Bettencourt2020
33740,"Monroe, LA (Metropolitan Statistical Area)",176798,2758366,2010,BEA_CA30_via_Bettencourt2020
33780,"Monroe, MI (Metropolitan Statistical Area)",151945,1651491,2010,BEA_CA30_via_Bettencourt2020
33860,"Montgomery, AL (Metropolitan Statistical Area)",375123,7015562,2010,BEA_CA30_via_Bettencourt2020
34060,"Morgantown, WV (Metropolitan Statistical Area)",130337,2605638,2010,BEA_CA30_via_Bettencourt2020
34100,"Morristown, TN (Metropolitan Statistical Area)",114166,1484191,2010,BEA_CA30_via_Bettencourt2020
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",117004,1818226,2010,BEA_CA30_via_Bettencourt2020
34620,"Muncie, IN (Metropolitan Statistical Area)",117692,1607204,2010,BEA_CA30_via_Bettencourt2020
34740,"Muskegon, MI (Metropolitan Statistical Area)",171922,2224635,2010,BEA_CA30_via_Bettencourt2020
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",378697,4605984,2010,BEA_CA30_via_Bettencourt2020
34900,"Napa, CA (Metropolitan Statistical Area)",136810,3126348,2010,BEA_CA30_via_Bettencourt2020
34940,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",322683,5122121,2010,BEA_CA30_via_Bettencourt2020
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1675972,35502608,2010,BEA_CA30_via_Bettencourt2020
35100,"New Bern, NC (Metropolitan Statistical Area)",127120,2234344,2010,BEA_CA30_via_Bettencourt2020
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",863401,18372125,2010,BEA_CA30_via_Bettencourt2020
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1195613,26105849,2010,BEA_CA30_via_Bettencourt2020
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",19601147,5.6991314e+08,2010,BEA_CA30_via_Bettencourt2020
35660,"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",156792,2531837,2010,BEA_CA30_via_Bettencourt2020
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",703366,9869136,2010,BEA_CA30_via_Bettencourt2020
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",274067,6659181,2010,BEA_CA30_via_Bettencourt2020
36100,"Ocala, FL (Metropolitan Statistical Area)",331421,3319529,2010,BEA_CA30_via_Bettencourt2020
36140,"Ocean City, NJ (Metropolitan Statistical Area)",97263,1514254,2010,BEA_CA30_via_Bettencourt2020
36220,"Odessa, TX (Metropolitan Statistical Area)",137078,2738311,2010,BEA_CA30_via_Bettencourt2020
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",599800,8575377,2010,BEA_CA30_via_Bettencourt2020
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",1257950,24573617,2010,BEA_CA30_via_Bettencourt2020
36500,"Olympia-Tumwater, WA (Metropolitan Statistical Area)",253067,4366904,2010,BEA_CA30_via_Bettencourt2020
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",868170,20286364,2010,BEA_CA30_via_Bettencourt2020
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",2139565,42343819,2010,BEA_CA30_via_Bettencourt2020
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",167059,4083917,2010,BEA_CA30_via_Bettencourt2020
36980,"Owensboro, KY (Metropolitan Statistical Area)",114777,1812843,2010,BEA_CA30_via_Bettencourt2020
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",825298,15762312,2010,BEA_CA30_via_Bettencourt2020
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",543966,9265082,2010,BEA_CA30_via_Bettencourt2020
37460,"Panama City, FL (Metropolitan Statistical Area)",185061,3111428,2010,BEA_CA30_via_Bettencourt2020
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",92761,1441306,2010,BEA_CA30_via_Bettencourt2020
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",451118,6871020,2010,BEA_CA30_via_Bettencourt2020
37900,"Peoria, IL (Metropolitan Statistical Area)",378947,8420637,2010,BEA_CA30_via_Bettencourt2020
