species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Arctictis binturong,Carnivora,Viverridae,12999.99,12.99999,272.4,22.7,PanTHERIA_WR05
Arctocebus calabarensis,Primates,Lorisidae,258.01,0.25801,156,13,PanTHERIA_WR05
Arctocephalus australis,Carnivora,Otariidae,67979.43,67.97943,252,21,PanTHERIA_WR05
Arctocephalus forsteri,Carnivora,Otariidae,101249.99,101.24999,180,15,PanTHERIA_WR05
Arctocephalus galapagoensis,Carnivora,Otariidae,39448.04,39.44804,264,22,PanTHERIA_WR05
Arctocephalus gazella,Carnivora,Otariidae,96599.99,96.59999,276,23,PanTHERIA_WR05
Arctocephalus pusillus,Carnivora,Otariidae,178500,178.5,252,21,PanTHERIA_WR05
Arctocephalus townsendi,Carnivora,Otariidae,101063.71,101.06371,288,24,PanTHERIA_WR05
Arctocephalus tropicalis,Carnivora,Otariidae,92222.55,92.22255,276,23,PanTHERIA_WR05
Arctogalidia trivirgata,Carnivora,Viverridae,2323.79,2.32379,190,15.833333,PanTHERIA_WR05
Arctonyx collaris,Carnivora,Mustelidae,8166.52,8.16652,167,13.916667,PanTHERIA_WR05
Artibeus jamaicensis,Chiroptera,Phyllostomidae,43.63,0.04363,120,10,PanTHERIA_WR05
Arvicola amphibius,Rodentia,Cricetidae,120,0.12,60,5,PanTHERIA_WR05
Arvicola sapidus,Rodentia,Cricetidae,219.99,0.21999,42,3.5,PanTHERIA_WR05
Tarsius tarsier,Primates,Tarsiidae,168.04,0.16804,144,12,PanTHERIA_WR05
Tatera indica,Rodentia,Muridae,138.28,0.13828,84,7,PanTHERIA_WR05
Taurotragus derbianus,Artiodactyla,Bovidae,646024.25,646.02425,194.04,16.17,PanTHERIA_WR05
Taurotragus oryx,Artiodactyla,Bovidae,562592.69,562.59269,300,25,PanTHERIA_WR05
Taxidea taxus,Carnivora,Mustelidae,7842.15,7.84215,312,26,PanTHERIA_WR05
Tayassu pecari,Artiodactyla,Tayassuidae,31798.71,31.79871,252,21,PanTHERIA_WR05
Tenrec ecaudatus,Afrosoricida,Tenrecidae,887.59,0.88759,75.6,6.3,PanTHERIA_WR05
Tetracerus quadricornis,Artiodactyla,Bovidae,19282.12,19.28212,129.96,10.83,PanTHERIA_WR05
Thallomys paedulcus,Rodentia,Muridae,77.7,0.0777,42,3.5,PanTHERIA_WR05
Theropithecus gelada,Primates,Cercopithecidae,15964.11,15.96411,336,28,PanTHERIA_WR05
Thomomys bottae,Rodentia,Geomyidae,122.7,0.1227,54,4.5,PanTHERIA_WR05
Thomomys monticola,Rodentia,Geomyidae,80.99,0.08099,60,5,PanTHERIA_WR05
Thomomys talpoides,Rodentia,Geomyidae,104.64,0.10464,45,3.75,PanTHERIA_WR05
Thryonomys swinderianus,Rodentia,Thryonomyidae,3750.85,3.75085,51.6,4.3,PanTHERIA_WR05
Thylacinus cynocephalus,Dasyuromorphia,Thylacinidae,29999.99,29.99999,156,13,PanTHERIA_WR05
Thylogale billardierii,Diprotodontia,Macropodidae,5865.86,5.86586,120,10,PanTHERIA_WR05
Thylogale thetis,Diprotodontia,Macropodidae,5399.95,5.39995,108,9,PanTHERIA_WR05
Trachypithecus cristatus,Primates,Cercopithecidae,7176.81,7.17681,373.2,31.1,PanTHERIA_WR05
Trachypithecus obscurus,Primates,Cercopithecidae,7247.88,7.24788,300,25,PanTHERIA_WR05
Trachypithecus vetulus,Primates,Cercopithecidae,7205.08,7.20508,276,23,PanTHERIA_WR05
Tragelaphus angasii,Artiodactyla,Bovidae,87616.76,87.61676,192,16,PanTHERIA_WR05
Tragelaphus buxtoni,Artiodactyla,Bovidae,215000.75,215.00075,132,11,PanTHERIA_WR05
Tragelaphus eurycerus,Artiodactyla,Bovidae,270998.37,270.99837,233,19.416667,PanTHERIA_WR05
Tragelaphus imberbis,Artiodactyla,Bovidae,94320.39,94.32039,227,18.916667,PanTHERIA_WR05
Tupaia belangeri,Scandentia,Tupaiidae,200,0.2,120,10,PanTHERIA_WR05
Tupaia glis,Scandentia,Tupaiidae,132.43,0.13243,149,12.416667,PanTHERIA_WR05
Tupaia longipes,Scandentia,Tupaiidae,168.05,0.16805,144,12,PanTHERIA_WR05
Tursiops truncatus,Cetacea,Delphinidae,281040.55,281.04055,552,46,PanTHERIA_WR05
Tylomys nudicaudus,Rodentia,Cricetidae,181.65,0.18165,64.8,5.4,PanTHERIA_WR05
Uncia uncia,Carnivora,Felidae,32500,32.5,216,18,PanTHERIA_WR05
Urocyon cinereoargenteus,Carnivora,Canidae,3833.71,3.83371,180,15,PanTHERIA_WR05
Urocyon littoralis,Carnivora,Canidae,1923,1.923,96,8,PanTHERIA_WR05
Urogale everetti,Scandentia,Tupaiidae,300.79,0.30079,138,11.5,PanTHERIA_WR05
Urotrichus talpoides,Soricomorpha,Talpidae,18.2,0.0182,42,3.5,PanTHERIA_WR05
Ursus americanus,Carnivora,Ursidae,110500,110.5,384,32,PanTHERIA_WR05
Ursus arctos,Carnivora,Ursidae,196287.5,196.2875,600,50,PanTHERIA_WR05
Ursus maritimus,Carnivora,Ursidae,371703.81,371.70381,458.4,38.2,PanTHERIA_WR05
Ursus thibetanus,Carnivora,Ursidae,99714.19,99.71419,422,35.166667,PanTHERIA_WR05
Vampyrum spectrum,Chiroptera,Phyllostomidae,171.61,0.17161,78,6.5,PanTHERIA_WR05
Varecia variegata,Primates,Lemuridae,3849.99,3.84999,384,32,PanTHERIA_WR05
Vespertilio murinus,Chiroptera,Vespertilionidae,15.42,0.01542,144,12,PanTHERIA_WR05
Vicugna vicugna,Artiodactyla,Camelidae,47499.61,47.49961,297.6,24.8,PanTHERIA_WR05
Viverra tangalunga,Carnivora,Viverridae,7349.99,7.34999,144,12,PanTHERIA_WR05
Viverra zibetha,Carnivora,Viverridae,9148.77,9.14877,240,20,PanTHERIA_WR05
Viverricula indica,Carnivora,Viverridae,2918.88,2.91888,126,10.5,PanTHERIA_WR05
Vombatus ursinus,Diprotodontia,Vombatidae,26000,26,313.2,26.1,PanTHERIA_WR05
Vormela peregusna,Carnivora,Mustelidae,594.13,0.59413,107,8.9166667,PanTHERIA_WR05
Vulpes bengalensis,Carnivora,Canidae,2514.4,2.5144,120,10,PanTHERIA_WR05
Vulpes cana,Carnivora,Canidae,988.5,0.9885,120,10,PanTHERIA_WR05
Vulpes chama,Carnivora,Canidae,2919.8,2.9198,120,10,PanTHERIA_WR05
Vulpes lagopus,Carnivora,Canidae,3584.37,3.58437,180,15,PanTHERIA_WR05
Vulpes macrotis,Carnivora,Canidae,4499.97,4.49997,240,20,PanTHERIA_WR05
Vulpes pallida,Carnivora,Canidae,2800.01,2.80001,120,10,PanTHERIA_WR05
Vulpes velox,Carnivora,Canidae,2088,2.088,240,20,PanTHERIA_WR05
Vulpes vulpes,Carnivora,Canidae,4820.36,4.82036,180,15,PanTHERIA_WR05
Vulpes zerda,Carnivora,Canidae,1317.13,1.31713,175,14.583333,PanTHERIA_WR05
Wallabia bicolor,Diprotodontia,Macropodidae,14999.95,14.99995,180,15,PanTHERIA_WR05
Wyulda squamicaudata,Diprotodontia,Phalangeridae,1799.21,1.79921,72,6,PanTHERIA_WR05
Xerus erythropus,Rodentia,Sciuridae,602.23,0.60223,72,6,PanTHERIA_WR05
Xerus inauris,Rodentia,Sciuridae,572.6,0.5726,156,13,PanTHERIA_WR05
Zaedyus pichiy,Cingulata,Dasypodidae,1444.76,1.44476,108,9,PanTHERIA_WR05
Zaglossus bruijni,Monotremata,Tachyglossidae,8951.71,8.95171,372,31,PanTHERIA_WR05
Zalophus californianus,Carnivora,Otariidae,137194.86,137.19486,360,30,PanTHERIA_WR05
Zapus hudsonius,Rodentia,Dipodidae,18.43,0.01843,60,5,PanTHERIA_WR05
Ziphius cavirostris,Cetacea,Ziphiidae,4775000,4775,432,36,PanTHERIA_WR05
