species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Ovis canadensis,Artiodactyla,Bovidae,74644.87,74.64487,288,24,PanTHERIA_WR05
Ovis dalli,Artiodactyla,Bovidae,70194.13,70.19413,192,16,PanTHERIA_WR05
Oxymycterus rufus,Rodentia,Cricetidae,82.01,0.08201,31.2,2.6,PanTHERIA_WR05
Pachyuromys duprasi,Rodentia,Muridae,47.5,0.0475,52.8,4.4,PanTHERIA_WR05
Pagophilus groenlandicus,Carnivora,Phocidae,132250,132.25,504,42,PanTHERIA_WR05
Paguma larvata,Carnivora,Viverridae,4300,4.3,216,18,PanTHERIA_WR05
Pan paniscus,Primates,Hominidae,35119.95,35.11995,576,48,PanTHERIA_WR05
Pan troglodytes,Primates,Hominidae,45000,45,720,60,PanTHERIA_WR05
Panthera leo,Carnivora,Felidae,158623.93,158.62393,360,30,PanTHERIA_WR05
Panthera onca,Carnivora,Felidae,83943.09,83.94309,276,23,PanTHERIA_WR05
Panthera pardus,Carnivora,Felidae,52399.99,52.39999,276,23,PanTHERIA_WR05
Panthera tigris,Carnivora,Felidae,161914.66,161.91466,315.6,26.3,PanTHERIA_WR05
Phocoena phocoena,Cetacea,Phocoenidae,52730.93,52.73093,180,15,PanTHERIA_WR05
Phocoenoides dalli,Cetacea,Phocoenidae,106042.53,106.04253,264,22,PanTHERIA_WR05
Phodopus campbelli,Rodentia,Cricetidae,27.06,0.02706,21.5,1.7916667,PanTHERIA_WR05
Phodopus sungorus,Rodentia,Cricetidae,30.43,0.03043,38.4,3.2,PanTHERIA_WR05
Papio anubis,Primates,Cercopithecidae,17728.56,17.72856,302.4,25.2,PanTHERIA_WR05
Papio cynocephalus,Primates,Cercopithecidae,15822.15,15.82215,540,45,PanTHERIA_WR05
Papio hamadryas,Primates,Cercopithecidae,14007.08,14.00708,450,37.5,PanTHERIA_WR05
Papio papio,Primates,Cercopithecidae,18026.05,18.02605,480,40,PanTHERIA_WR05
Papio ursinus,Primates,Cercopithecidae,17729.44,17.72944,540,45,PanTHERIA_WR05
Paradoxurus hermaphroditus,Carnivora,Viverridae,3200,3.2,269,22.416667,PanTHERIA_WR05
Paradoxurus jerdoni,Carnivora,Viverridae,3530.33,3.53033,144,12,PanTHERIA_WR05
Paraechinus aethiopicus,Erinaceomorpha,Erinaceidae,352.4,0.3524,54,4.5,PanTHERIA_WR05
Parantechinus apicalis,Dasyuromorphia,Dasyuridae,71.31,0.07131,36,3,PanTHERIA_WR05
Parascalops breweri,Soricomorpha,Talpidae,51.11,0.05111,60,5,PanTHERIA_WR05
Pecari tajacu,Artiodactyla,Tayassuidae,21133.69,21.13369,296.4,24.7,PanTHERIA_WR05
Pectinator spekei,Rodentia,Ctenodactylidae,169.7,0.1697,120,10,PanTHERIA_WR05
Pedetes capensis,Rodentia,Pedetidae,2549.25,2.54925,174,14.5,PanTHERIA_WR05
Peponocephala electra,Cetacea,Delphinidae,206000,206,564,47,PanTHERIA_WR05
Perameles gunnii,Peramelemorphia,Peramelidae,903.46,0.90346,66,5.5,PanTHERIA_WR05
Perodicticus potto,Primates,Lorisidae,1081.81,1.08181,312,26,PanTHERIA_WR05
Perognathus flavus,Rodentia,Heteromyidae,7.97,0.00797,60,5,PanTHERIA_WR05
Perognathus longimembris,Rodentia,Heteromyidae,8.07,0.00807,99.6,8.3,PanTHERIA_WR05
Perognathus merriami,Rodentia,Heteromyidae,6.94,0.00694,30,2.5,PanTHERIA_WR05
Perognathus parvus,Rodentia,Heteromyidae,21.56,0.02156,48,4,PanTHERIA_WR05
Peromyscus attwateri,Rodentia,Cricetidae,27.9,0.0279,18,1.5,PanTHERIA_WR05
Peromyscus boylii,Rodentia,Cricetidae,23.9,0.0239,18,1.5,PanTHERIA_WR05
Peromyscus gossypinus,Rodentia,Cricetidae,27.68,0.02768,15.5,1.2916667,PanTHERIA_WR05
Peromyscus leucopus,Rodentia,Cricetidae,18.07,0.01807,38,3.1666667,PanTHERIA_WR05
Pteronura brasiliensis,Carnivora,Mustelidae,26000,26,154,12.833333,PanTHERIA_WR05
Peroryctes raffrayana,Peramelemorphia,Peramelidae,905.63,0.90563,39.6,3.3,PanTHERIA_WR05
Petaurista petaurista,Rodentia,Sciuridae,1533.84,1.53384,192,16,PanTHERIA_WR05
Petauroides volans,Diprotodontia,Pseudocheiridae,1257.17,1.25717,180,15,PanTHERIA_WR05
Petaurus australis,Diprotodontia,Petauridae,567.15,0.56715,192,16,PanTHERIA_WR05
Petaurus breviceps,Diprotodontia,Petauridae,120.76,0.12076,168,14,PanTHERIA_WR05
Petaurus norfolcensis,Diprotodontia,Petauridae,230,0.23,144,12,PanTHERIA_WR05
Petrogale assimilis,Diprotodontia,Macropodidae,4618.88,4.61888,156,13,PanTHERIA_WR05
Petrogale concinna,Diprotodontia,Macropodidae,1398.2,1.3982,204,17,PanTHERIA_WR05
Petrogale lateralis,Diprotodontia,Macropodidae,4567.88,4.56788,144,12,PanTHERIA_WR05
Petrogale penicillata,Diprotodontia,Macropodidae,6931.6,6.9316,172.8,14.4,PanTHERIA_WR05
Petrogale xanthopus,Diprotodontia,Macropodidae,8499.99,8.49999,144,12,PanTHERIA_WR05
Phacochoerus aethiopicus,Artiodactyla,Suidae,75607.52,75.60752,225.6,18.8,PanTHERIA_WR05
Phacochoerus africanus,Artiodactyla,Suidae,82499.99,82.49999,180,15,PanTHERIA_WR05
Phalanger gymnotis,Diprotodontia,Phalangeridae,2597.89,2.59789,144,12,PanTHERIA_WR05
Phalanger orientalis,Diprotodontia,Phalangeridae,2487.5,2.4875,48,4,PanTHERIA_WR05
Phaner furcifer,Primates,Cheirogaleidae,409.87,0.40987,144,12,PanTHERIA_WR05
Phascogale calura,Dasyuromorphia,Dasyuridae,43.03,0.04303,36,3,PanTHERIA_WR05
Phascogale tapoatafa,Dasyuromorphia,Dasyuridae,192.65,0.19265,60,5,PanTHERIA_WR05
Phascolarctos cinereus,Diprotodontia,Phascolarctidae,6528.74,6.52874,240,20,PanTHERIA_WR05
Philander opossum,Didelphimorphia,Didelphidae,425.81,0.42581,42,3.5,PanTHERIA_WR05
Philantomba maxwellii,Artiodactyla,Bovidae,8557.69,8.55769,147,12.25,PanTHERIA_WR05
Philantomba monticola,Artiodactyla,Bovidae,4896.05,4.89605,144,12,PanTHERIA_WR05
Phoca largha,Carnivora,Phocidae,98879.18,98.87918,426.13,35.510833,PanTHERIA_WR05
Phoca vitulina,Carnivora,Phocidae,87316.66,87.31666,480,40,PanTHERIA_WR05
Phyllostomus hastatus,Chiroptera,Phyllostomidae,91.44,0.09144,120,10,PanTHERIA_WR05
Proechimys guyannensis,Rodentia,Echimyidae,314.03,0.31403,57.6,4.8,PanTHERIA_WR05
Proechimys semispinosus,Rodentia,Echimyidae,353.32,0.35332,31,2.5833333,PanTHERIA_WR05
Prolemur simus,Primates,Lemuridae,2030.41,2.03041,144,12,PanTHERIA_WR05
Propithecus verreauxi,Primates,Indriidae,3588.26,3.58826,247.2,20.6,PanTHERIA_WR05
Ptenochirus jagori,Chiroptera,Pteropodidae,79.18,0.07918,96,8,PanTHERIA_WR05
Pteromys volans,Rodentia,Sciuridae,143.09,0.14309,45.6,3.8,PanTHERIA_WR05
Pteropus dasymallus,Chiroptera,Pteropodidae,491.86,0.49186,372,31,PanTHERIA_WR05
Pteropus giganteus,Chiroptera,Pteropodidae,824.85,0.82485,376.8,31.4,PanTHERIA_WR05
Rhynchocyon chrysopygus,Macroscelidea,Macroscelididae,535.2,0.5352,48,4,PanTHERIA_WR05
Rousettus aegyptiacus,Chiroptera,Pteropodidae,134,0.134,274.8,22.9,PanTHERIA_WR05
Sorex minutus,Soricomorpha,Soricidae,4.32,0.00432,24,2,PanTHERIA_WR05
Sorex monticolus,Soricomorpha,Soricidae,6.92,0.00692,16,1.3333333,PanTHERIA_WR05
Sorex ornatus,Soricomorpha,Soricidae,5.31,0.00531,17,1.4166667,PanTHERIA_WR05
Physeter catodon,Cetacea,Physeteridae,14540960,14540.96,924,77,PanTHERIA_WR05
Pseudorca crassidens,Cetacea,Delphinidae,1360000,1360,264,22,PanTHERIA_WR05
Pipistrellus hesperus,Chiroptera,Vespertilionidae,3.56,0.00356,72.99,6.0825,PanTHERIA_WR05
Pipistrellus nathusii,Chiroptera,Vespertilionidae,7.44,0.00744,96,8,PanTHERIA_WR05
Pipistrellus pipistrellus,Chiroptera,Vespertilionidae,5.3,0.0053,200.4,16.7,PanTHERIA_WR05
Pipistrellus subflavus,Chiroptera,Vespertilionidae,5.74,0.00574,180,15,PanTHERIA_WR05
Pithecia aequatorialis,Primates,Pitheciidae,2375.91,2.37591,178.8,14.9,PanTHERIA_WR05
Pithecia monachus,Primates,Pitheciidae,2109.55,2.10955,295.2,24.6,PanTHERIA_WR05
Pithecia pithecia,Primates,Pitheciidae,1667.19,1.66719,248.4,20.7,PanTHERIA_WR05
Plagiodontia aedium,Rodentia,Capromyidae,1268.86,1.26886,118.8,9.9,PanTHERIA_WR05
Planigale gilesi,Dasyuromorphia,Dasyuridae,9.34,0.00934,60,5,PanTHERIA_WR05
Planigale ingrami,Dasyuromorphia,Dasyuridae,6.27,0.00627,15.6,1.3,PanTHERIA_WR05
Planigale maculata,Dasyuromorphia,Dasyuridae,12,0.012,48,4,PanTHERIA_WR05
Planigale tenuirostris,Dasyuromorphia,Dasyuridae,6.27,0.00627,36,3,PanTHERIA_WR05
Platanista gangetica,Cetacea,Platanistidae,93481.96,93.48196,336,28,PanTHERIA_WR05
Platanista minor,Cetacea,Platanistidae,75990.24,75.99024,336,28,PanTHERIA_WR05
Platyrrhinus lineatus,Chiroptera,Phyllostomidae,24.34,0.02434,122.4,10.2,PanTHERIA_WR05
Plecotus auritus,Chiroptera,Vespertilionidae,8.19,0.00819,360,30,PanTHERIA_WR05
Plecotus austriacus,Chiroptera,Vespertilionidae,6.75,0.00675,180,15,PanTHERIA_WR05
Podomys floridanus,Rodentia,Cricetidae,30.74,0.03074,88,7.3333333,PanTHERIA_WR05
Poecilogale albinucha,Carnivora,Mustelidae,308.16,0.30816,62.4,5.2,PanTHERIA_WR05
Pogonomys macrourus,Rodentia,Muridae,46.98,0.04698,29,2.4166667,PanTHERIA_WR05
Poiana richardsonii,Carnivora,Viverridae,570.08,0.57008,64,5.3333333,PanTHERIA_WR05
Pongo pygmaeus,Primates,Hominidae,53408.29,53.40829,720,60,PanTHERIA_WR05
Pontoporia blainvillei,Cetacea,Iniidae,40499.99,40.49999,192,16,PanTHERIA_WR05
Potamochoerus porcus,Artiodactyla,Suidae,70000.31,70.00031,240,20,PanTHERIA_WR05
Potorous longipes,Diprotodontia,Potoroidae,1835.06,1.83506,120,10,PanTHERIA_WR05
Potorous tridactylus,Diprotodontia,Potoroidae,1054.67,1.05467,144,12,PanTHERIA_WR05
Potos flavus,Carnivora,Procyonidae,2441.81,2.44181,348,29,PanTHERIA_WR05
Praomys tullbergi,Rodentia,Muridae,37.1,0.0371,62.4,5.2,PanTHERIA_WR05
Presbytis melalophos,Primates,Cercopithecidae,6439.12,6.43912,192,16,PanTHERIA_WR05
Priodontes maximus,Cingulata,Dasypodidae,40641.89,40.64189,180,15,PanTHERIA_WR05
Prionailurus bengalensis,Carnivora,Felidae,2780.97,2.78097,180,15,PanTHERIA_WR05
Prionailurus viverrinus,Carnivora,Felidae,8826.46,8.82646,120,10,PanTHERIA_WR05
Prionodon linsang,Carnivora,Viverridae,684.83,0.68483,128.4,10.7,PanTHERIA_WR05
Procapra gutturosa,Artiodactyla,Bovidae,28274.27,28.27427,84,7,PanTHERIA_WR05
Procavia capensis,Hyracoidea,Procaviidae,2952.48,2.95248,168,14,PanTHERIA_WR05
Procyon cancrivorus,Carnivora,Procyonidae,6931.72,6.93172,168,14,PanTHERIA_WR05
Procyon lotor,Carnivora,Procyonidae,6373.72,6.37372,252,21,PanTHERIA_WR05
Proteles cristata,Carnivora,Hyaenidae,8139.39,8.13939,300,25,PanTHERIA_WR05
Protoxerus stangeri,Rodentia,Sciuridae,630.43,0.63043,61.2,5.1,PanTHERIA_WR05
Przewalskium albirostris,Artiodactyla,Cervidae,161681.9,161.6819,216,18,PanTHERIA_WR05
Pseudantechinus bilarni,Dasyuromorphia,Dasyuridae,23.05,0.02305,36,3,PanTHERIA_WR05
Pseudantechinus macdonnellensis,Dasyuromorphia,Dasyuridae,36.88,0.03688,36,3,PanTHERIA_WR05
Pseudantechinus ningbing,Dasyuromorphia,Dasyuridae,20.74,0.02074,24,2,PanTHERIA_WR05
Pseudantechinus woolleyae,Dasyuromorphia,Dasyuridae,43.23,0.04323,48,4,PanTHERIA_WR05
Pseudocheirus peregrinus,Diprotodontia,Pseudocheiridae,895.22,0.89522,96,8,PanTHERIA_WR05
Pseudois nayaur,Artiodactyla,Bovidae,52334.57,52.33457,288,24,PanTHERIA_WR05
Pseudomys australis,Rodentia,Muridae,52.97,0.05297,67.2,5.6,PanTHERIA_WR05
Pteropus rodricensis,Chiroptera,Pteropodidae,256.17,0.25617,360,30,PanTHERIA_WR05
Ptilocercus lowii,Scandentia,Ptilocercidae,42.5,0.0425,32.4,2.7,PanTHERIA_WR05
Pudu mephistophiles,Artiodactyla,Cervidae,9599.96,9.59996,120,10,PanTHERIA_WR05
Pudu puda,Artiodactyla,Cervidae,9642.62,9.64262,150,12.5,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,53954.05,53.95405,240,20,PanTHERIA_WR05
Puma yagouaroundi,Carnivora,Felidae,6875,6.875,127.83,10.6525,PanTHERIA_WR05
Pusa caspica,Carnivora,Phocidae,62326.2,62.3262,600,50,PanTHERIA_WR05
Pusa hispida,Carnivora,Phocidae,70963.6,70.9636,552,46,PanTHERIA_WR05
Rusa unicolor,Artiodactyla,Cervidae,177522.9,177.5229,317.04,26.42,PanTHERIA_WR05
Pusa sibirica,Carnivora,Phocidae,89499.99,89.49999,672,56,PanTHERIA_WR05
Pygathrix nemaeus,Primates,Cercopithecidae,9411.1,9.4111,300,25,PanTHERIA_WR05
Rucervus eldii,Artiodactyla,Cervidae,95471.61,95.47161,232.8,19.4,PanTHERIA_WR05
Rupicapra rupicapra,Artiodactyla,Bovidae,33266.35,33.26635,264,22,PanTHERIA_WR05
Saccostomus campestris,Rodentia,Nesomyidae,50.33,0.05033,33.6,2.8,PanTHERIA_WR05
Saguinus fuscicollis,Primates,Cebidae,393.99,0.39399,294,24.5,PanTHERIA_WR05
Rangifer tarandus,Artiodactyla,Cervidae,109088.5,109.0885,242.4,20.2,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,11661.53,11.66153,168,14,PanTHERIA_WR05
Raphicerus melanotis,Artiodactyla,Bovidae,10503.14,10.50314,168,14,PanTHERIA_WR05
Raphicerus sharpei,Artiodactyla,Bovidae,9396.9,9.3969,168,14,PanTHERIA_WR05
Rattus fuscipes,Rodentia,Muridae,124.58,0.12458,41,3.4166667,PanTHERIA_WR05
Rattus lutreolus,Rodentia,Muridae,106,0.106,29,2.4166667,PanTHERIA_WR05
Rattus rattus,Rodentia,Muridae,142.68,0.14268,50.4,4.2,PanTHERIA_WR05
Ratufa bicolor,Rodentia,Sciuridae,1609.08,1.60908,121,10.083333,PanTHERIA_WR05
Redunca arundinum,Artiodactyla,Bovidae,58059.24,58.05924,201,16.75,PanTHERIA_WR05
Redunca fulvorufula,Artiodactyla,Bovidae,29352.66,29.35266,147.96,12.33,PanTHERIA_WR05
Redunca redunca,Artiodactyla,Bovidae,43288.95,43.28895,216,18,PanTHERIA_WR05
Reithrodon auritus,Rodentia,Cricetidae,79.73,0.07973,66,5.5,PanTHERIA_WR05
Reithrodontomys humulis,Rodentia,Cricetidae,8.25,0.00825,26.89,2.2408333,PanTHERIA_WR05
Reithrodontomys megalotis,Rodentia,Cricetidae,10.72,0.01072,18,1.5,PanTHERIA_WR05
Reithrodontomys raviventris,Rodentia,Cricetidae,10.95,0.01095,31,2.5833333,PanTHERIA_WR05
Rhabdomys pumilio,Rodentia,Muridae,40.73,0.04073,34.8,2.9,PanTHERIA_WR05
Rhinoceros sondaicus,Perissodactyla,Rhinocerotidae,1750000,1750,480,40,PanTHERIA_WR05
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,1843655.8,1843.6558,588,49,PanTHERIA_WR05
Rhinolophus ferrumequinum,Chiroptera,Rhinolophidae,22.59,0.02259,360,30,PanTHERIA_WR05
Rhinolophus hipposideros,Chiroptera,Rhinolophidae,4.57,0.00457,252,21,PanTHERIA_WR05
Rhinolophus rouxii,Chiroptera,Rhinolophidae,12.25,0.01225,60,5,PanTHERIA_WR05
Saguinus imperator,Primates,Cebidae,407.91,0.40791,242.4,20.2,PanTHERIA_WR05
Saguinus midas,Primates,Cebidae,540.56,0.54056,184.8,15.4,PanTHERIA_WR05
Saguinus nigricollis,Primates,Cebidae,450,0.45,182.4,15.2,PanTHERIA_WR05
Saguinus oedipus,Primates,Cebidae,462.04,0.46204,277.2,23.1,PanTHERIA_WR05
Saiga tatarica,Artiodactyla,Bovidae,37734.01,37.73401,144,12,PanTHERIA_WR05
Spalax leucodon,Rodentia,Spalacidae,188.67,0.18867,54,4.5,PanTHERIA_WR05
Speothos venaticus,Carnivora,Canidae,6324.54,6.32454,124,10.333333,PanTHERIA_WR05
Spermophilus armatus,Rodentia,Sciuridae,306.48,0.30648,60,5,PanTHERIA_WR05
Spermophilus beecheyi,Rodentia,Sciuridae,597.82,0.59782,60,5,PanTHERIA_WR05
Sorex trowbridgii,Soricomorpha,Soricidae,5.02,0.00502,18,1.5,PanTHERIA_WR05
Sorex unguiculatus,Soricomorpha,Soricidae,14.11,0.01411,18,1.5,PanTHERIA_WR05
Sorex vagrans,Soricomorpha,Soricidae,5.99,0.00599,25,2.0833333,PanTHERIA_WR05
Saimiri sciureus,Primates,Cebidae,749.47,0.74947,324,27,PanTHERIA_WR05
Salanoia concolor,Carnivora,Eupleridae,711.49,0.71149,57.6,4.8,PanTHERIA_WR05
Sarcophilus harrisii,Dasyuromorphia,Dasyuridae,8202.25,8.20225,98.4,8.2,PanTHERIA_WR05
Scalopus aquaticus,Soricomorpha,Talpidae,87.15,0.08715,74.4,6.2,PanTHERIA_WR05
Scapanus latimanus,Soricomorpha,Talpidae,62.46,0.06246,36,3,PanTHERIA_WR05
Scapanus orarius,Soricomorpha,Talpidae,62.13,0.06213,36,3,PanTHERIA_WR05
Sciurus carolinensis,Rodentia,Sciuridae,545.4,0.5454,288,24,PanTHERIA_WR05
Sciurus vulgaris,Rodentia,Sciuridae,333,0.333,144,12,PanTHERIA_WR05
Sekeetamys calurus,Rodentia,Muridae,56.61,0.05661,64.8,5.4,PanTHERIA_WR05
Semnopithecus entellus,Primates,Cercopithecidae,12679.29,12.67929,300,25,PanTHERIA_WR05
Setifer setosus,Afrosoricida,Tenrecidae,263.22,0.26322,126,10.5,PanTHERIA_WR05
Setonix brachyurus,Diprotodontia,Macropodidae,3027.67,3.02767,144,12,PanTHERIA_WR05
